candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-06-01-niels-henrik-abel,Niels Henrik Abel,1802,Mathematician,Norway,M,0,0,,unresearched,unverified_candidate,Abel's theorem at 21
2,tech-custom-06-02-brian-kernighan,Brian Kernighan,1942,Computer Scientist,Canada,M,0,0,,unresearched,unverified_candidate,Co-authored K&R C at 26
3,tech-custom-06-03-srinivasa-ramanujan,Srinivasa Ramanujan,1887,Mathematician,India,M,0,0,,unresearched,unverified_candidate,Letters to Hardy at 25
4,tech-custom-06-04-ann-miura-ko,Ann Miura-Ko,1972,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Floodgate at 35
5,tech-custom-06-05-g.h.-hardy,G.H. Hardy,1877,Mathematician,United Kingdom,M,0,0,,unresearched,unverified_candidate,PhD at 24
6,tech-custom-06-06-chad-hurley,Chad Hurley,1977,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded YouTube at 28
7,tech-custom-06-07-paul-allen,Paul Allen,1953,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Microsoft at 22
8,tech-custom-06-08-david-hilbert,David Hilbert,1862,Mathematician,Germany,M,0,0,,unresearched,unverified_candidate,PhD at 23
9,tech-custom-06-09-soichiro-honda,Soichiro Honda,1906,Entrepreneur,Japan,M,0,0,,unresearched,unverified_candidate,Founded Honda at 39
10,tech-custom-06-10-bernhard-riemann,Bernhard Riemann,1826,Mathematician,Germany,M,0,0,,unresearched,unverified_candidate,Riemann hypothesis at 33
11,tech-custom-06-11-yvon-chouinard,Yvon Chouinard,1938,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Founded Patagonia at 34
12,tech-custom-06-12-évariste-galois,Évariste Galois,1811,Mathematician,France,M,0,0,,unresearched,unverified_candidate,Galois theory at 20
