candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-05-01-keith-rabois,Keith Rabois,1969,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Joined PayPal at 31
2,tech-custom-05-02-pierre-omidyar,Pierre Omidyar,1967,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Founded eBay at 28
3,tech-custom-05-03-notch,Notch,1979,Game Developer,Sweden,M,0,0,,unresearched,unverified_candidate,Created Minecraft at 30
4,tech-custom-05-04-jordan-walke,Jordan Walke,1984,Software Engineer,United States,M,0,0,,unresearched,unverified_candidate,Created React at 26
5,tech-custom-05-05-john-nash,John Nash,1928,Mathematician,United States,M,0,0,,unresearched,unverified_candidate,Nash equilibrium at 22
6,tech-custom-05-06-jawed-karim,Jawed Karim,1979,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded YouTube at 26
7,tech-custom-05-07-norbert-wiener,Norbert Wiener,1894,Mathematician,United States,M,0,0,,unresearched,unverified_candidate,PhD at 17
8,tech-custom-05-08-andrew-mccollum,Andrew McCollum,1983,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Facebook at 21
9,tech-custom-05-09-jan-koum,Jan Koum,1970,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded WhatsApp at 38
10,tech-custom-05-10-bob-iger,Bob Iger,1950,Businessperson,United States,M,0,0,,unresearched,unverified_candidate,Joined ABC at 23
11,tech-custom-05-11-steve-chen,Steve Chen,1978,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded YouTube at 27
12,tech-custom-05-12-jeremy-stoppelman,Jeremy Stoppelman,1977,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Yelp at 27
