candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-04-01-donald-knuth,Donald Knuth,1938,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Wrote TAOCP at 25
2,tech-custom-04-02-reed-hastings,Reed Hastings,1960,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Netflix at 37
3,tech-custom-04-03-reid-hoffman,Reid Hoffman,1967,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded LinkedIn at 35
4,tech-custom-04-04-evan-you,Evan You,1987,Software Engineer,United States,M,0,0,,unresearched,unverified_candidate,Created Vue.js at 26
5,tech-custom-04-05-dan-abramov,Dan Abramov,1984,Software Engineer,United States,M,0,0,,unresearched,unverified_candidate,Created Redux at 24
6,tech-custom-04-06-bram-cohen,Bram Cohen,1975,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Created BitTorrent at 26
7,tech-custom-04-07-john-von-neumann,John von Neumann,1903,Mathematician,United States,M,0,0,,unresearched,unverified_candidate,Axiomatization at 22
8,tech-custom-04-08-kiichiro-toyoda,Kiichiro Toyoda,1894,Entrepreneur,Japan,M,0,0,,unresearched,unverified_candidate,Founded Toyota at 43
9,tech-custom-04-09-ingvar-kamprad,Ingvar Kamprad,1926,Entrepreneur,Sweden,M,0,0,,unresearched,unverified_candidate,Founded IKEA at 17
10,tech-custom-04-10-patrick-collison,Patrick Collison,1988,Entrepreneur,Ireland,M,0,0,,unresearched,unverified_candidate,Co-founded Stripe at 22
11,tech-custom-04-11-sam-yagan,Sam Yagan,1977,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded OKCupid at 26
12,tech-custom-04-12-paul-dirac,Paul Dirac,1902,Physicist,United Kingdom,M,0,0,,unresearched,unverified_candidate,Dirac equation at 24
