candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-02-01-murray-gell-mann,Murray Gell-Mann,1929,Physicist,United States,M,0,0,,unresearched,unverified_candidate,PhD at 22
2,tech-custom-02-02-justin-frankel,Justin Frankel,1978,Software Engineer,United States,M,0,0,,unresearched,unverified_candidate,Created Winamp at 19
3,tech-custom-02-03-ralph-baer,Ralph Baer,1922,Inventor,United States,M,0,0,,unresearched,unverified_candidate,Brown Box at 45
4,tech-custom-02-04-akio-morita,Akio Morita,1921,Entrepreneur,Japan,M,0,0,,unresearched,unverified_candidate,Co-founded Sony at 25
5,tech-custom-02-05-masaru-ibuka,Masaru Ibuka,1908,Entrepreneur,Japan,M,0,0,,unresearched,unverified_candidate,Co-founded Sony at 38
6,tech-custom-02-06-richard-feynman,Richard Feynman,1918,Physicist,United States,M,0,0,,unresearched,unverified_candidate,Manhattan Project at 24
7,tech-custom-02-07-paul-a.m.-dirac,Paul A.M. Dirac,1902,Physicist,United Kingdom,M,0,0,,unresearched,unverified_candidate,Dirac equation at 24
8,tech-custom-02-08-david-o.-sacks,David O. Sacks,1970,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Joined PayPal at 29
9,tech-custom-02-09-yishan-wong,Yishan Wong,1974,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Joined PayPal at 25
10,tech-custom-02-10-henri-poincaré,Henri Poincaré,1854,Mathematician,France,M,0,0,,unresearched,unverified_candidate,PhD at 25
11,tech-custom-02-11-enrico-fermi,Enrico Fermi,1901,Physicist,Italy,M,0,0,,unresearched,unverified_candidate,PhD at 20
12,tech-custom-02-12-alan-turing,Alan Turing,1912,Mathematician,United Kingdom,M,0,0,,unresearched,unverified_candidate,Enigma at 24
