candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,tech-custom-03-01-jack-conte,Jack Conte,1984,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Patreon at 30
2,tech-custom-03-02-john-collison,John Collison,1990,Entrepreneur,Ireland,M,0,0,,unresearched,unverified_candidate,Co-founded Stripe at 20
3,tech-custom-03-03-eric-bina,Eric Bina,1964,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Co-created Mosaic at 28
4,tech-custom-03-04-julian-schwinger,Julian Schwinger,1918,Physicist,United States,M,0,0,,unresearched,unverified_candidate,PhD at 21
5,tech-custom-03-05-niklas-zennström,Niklas Zennström,1966,Entrepreneur,Sweden,M,0,0,,unresearched,unverified_candidate,Co-founded Skype at 37
6,tech-custom-03-06-brian-singerman,Brian Singerman,1979,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Joined Founders Fund at 28
7,tech-custom-03-07-wolfgang-pauli,Wolfgang Pauli,1900,Physicist,Austria,M,0,0,,unresearched,unverified_candidate,Exclusion principle at 25
8,tech-custom-03-08-alan-kay,Alan Kay,1940,Computer Scientist,United States,M,0,0,,unresearched,unverified_candidate,Dynabook concept at 28
9,tech-custom-03-09-guillermo-rauch,Guillermo Rauch,1986,Entrepreneur,Argentina,M,0,0,,unresearched,unverified_candidate,Founded Vercel at 26
10,tech-custom-03-10-john-edensor-littlewood,John Edensor Littlewood,1885,Mathematician,United Kingdom,M,0,0,,unresearched,unverified_candidate,Senior Wrangler at 24
11,tech-custom-03-11-russel-simmons,Russel Simmons,1978,Entrepreneur,United States,M,0,0,,unresearched,unverified_candidate,Co-founded Yelp at 26
12,tech-custom-03-12-werner-heisenberg,Werner Heisenberg,1901,Physicist,Germany,M,0,0,,unresearched,unverified_candidate,Uncertainty principle at 25
