candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-080-01-brian-goff,Brian Goff,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Brian_Goff,unresearched,unverified_candidate,Curated: Docker engineer
2,fe-080-02-jeff-black-(businessman),Jeff Black (businessman),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jeff_Black_(businessman),unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-080-03-jeremy-doig,Jeremy Doig,,Google engineer,,,,,https://en.wikipedia.org/wiki/Jeremy_Doig,unresearched,unverified_candidate,Curated: Google engineer
4,fe-080-04-dmitriy-zaporozhets,Dmitriy Zaporozhets,1984,GitLab founder,,,,,https://en.wikipedia.org/wiki/Dmitriy_Zaporozhets,unresearched,unverified_candidate,Curated: GitLab founder
5,fe-080-05-scott-j-beck,Scott J Beck,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Scott_J_Beck,unresearched,unverified_candidate,Curated: GitHub engineer
6,fe-080-06-christophe-bisciglia,Christophe Bisciglia,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Christophe_Bisciglia,unresearched,unverified_candidate,Wikipedia category: American computer scientists
7,fe-080-07-evan-piekaz,Evan Piekaz,,tech founder,,,,,https://en.wikipedia.org/wiki/Evan_Piekaz,unresearched,unverified_candidate,Curated: tech founder
8,fe-080-08-john-mark-ockerbloom,John Mark Ockerbloom,,American software engineers,,,,,https://en.wikipedia.org/wiki/John_Mark_Ockerbloom,unresearched,unverified_candidate,Wikipedia category: American software engineers
9,fe-080-09-roberto-peon,Roberto Peon,,Google engineer,,,,,https://en.wikipedia.org/wiki/Roberto_Peon,unresearched,unverified_candidate,Curated: Google engineer
10,fe-080-10-amitt-mahajan,Amitt Mahajan,,Zynga engineer,,,,,https://en.wikipedia.org/wiki/Amitt_Mahajan,unresearched,unverified_candidate,Curated: Zynga engineer
11,fe-080-11-adrian-carmack,Adrian Carmack,1969,id Software founder,,,,,https://en.wikipedia.org/wiki/Adrian_Carmack,unresearched,unverified_candidate,Curated: id Software founder
12,fe-080-12-james-f.-allen-(computer-scientist),James F. Allen (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/James_F._Allen_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
