candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-072-01-chamath-palihapitiya,Chamath Palihapitiya,1976,Facebook VP,,,,,https://en.wikipedia.org/wiki/Chamath_Palihapitiya,unresearched,unverified_candidate,Curated: Facebook VP
2,fe-072-02-chris-putman,Chris Putman,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Chris_Putman,unresearched,unverified_candidate,Curated: Facebook engineer
3,fe-072-03-alexandra-boltasseva,Alexandra Boltasseva,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alexandra_Boltasseva,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-072-04-mano-marks,Mano Marks,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Mano_Marks,unresearched,unverified_candidate,Curated: Docker engineer
5,fe-072-05-asmau-ahmed,Asmau Ahmed,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Asmau_Ahmed,unresearched,unverified_candidate,Wikipedia category: American technology company founders
6,fe-072-06-dhh,DHH,1979,Rails creator,,,,,https://en.wikipedia.org/wiki/DHH,unresearched,unverified_candidate,Curated: Rails creator
7,fe-072-07-joy-buolamwini,Joy Buolamwini,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Joy_Buolamwini,unresearched,unverified_candidate,Wikipedia category: American computer scientists
8,fe-072-08-nathan-adams,Nathan Adams,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Nathan_Adams,unresearched,unverified_candidate,Curated: Minecraft developer
9,fe-072-09-francine-berman,Francine Berman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Francine_Berman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-072-10-isaac-schlueter,Isaac Schlueter,1981,npm creator,,,,,https://en.wikipedia.org/wiki/Isaac_Schlueter,unresearched,unverified_candidate,Curated: npm creator
11,fe-072-11-jordan-walke,Jordan Walke,,React creator,,,,,https://en.wikipedia.org/wiki/Jordan_Walke,unresearched,unverified_candidate,Curated: React creator
12,fe-072-12-bri-holt,Bri Holt,,American software engineers,,,,,https://en.wikipedia.org/wiki/Bri_Holt,unresearched,unverified_candidate,Wikipedia category: American software engineers
