candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-x-205-01-sophie-alpert,Sophie Alpert,1992,X eng @sophiebits (80k followers): React manager,,,,,https://en.wikipedia.org/wiki/Sophie_Alpert,unresearched,unverified_candidate,X high-follower engineer/founder @sophiebits ~80000 followers; React manager
2,fe-x-205-02-brian-vaughn,Brian Vaughn,1985,X eng @brian_d_vaughn (50k followers): React DevTools,,,,,https://en.wikipedia.org/wiki/Brian_Vaughn,unresearched,unverified_candidate,X high-follower engineer/founder @brian_d_vaughn ~50000 followers; React DevTools
3,fe-x-205-03-dominic-gannaway,Dominic Gannaway,1986,X eng @trueadm (50k followers): React Inferno,,,,,https://en.wikipedia.org/wiki/Dominic_Gannaway,unresearched,unverified_candidate,X high-follower engineer/founder @trueadm ~50000 followers; React Inferno
4,fe-x-205-04-cheng-lou,Cheng Lou,1990,X eng @_chenglou (50k followers): ReasonML React,,,,,https://en.wikipedia.org/wiki/Cheng_Lou,unresearched,unverified_candidate,X high-follower engineer/founder @_chenglou ~50000 followers; ReasonML React
5,fe-x-205-05-jared-palmer,Jared Palmer,1988,X eng @jaredpalmer (80k followers): Formik,,,,,https://en.wikipedia.org/wiki/Jared_Palmer,unresearched,unverified_candidate,X high-follower engineer/founder @jaredpalmer ~80000 followers; Formik
6,fe-x-205-06-shu-ding,Shu Ding,1995,X eng @shuding_ (50k followers): Next.js,,,,,https://en.wikipedia.org/wiki/Shu_Ding,unresearched,unverified_candidate,X high-follower engineer/founder @shuding_ ~50000 followers; Next.js
7,fe-x-205-07-tim-neutkens,Tim Neutkens,1995,X eng @timneutkens (50k followers): Next.js,,,,,https://en.wikipedia.org/wiki/Tim_Neutkens,unresearched,unverified_candidate,X high-follower engineer/founder @timneutkens ~50000 followers; Next.js
8,fe-x-205-08-anton-osika,Anton Osika,1992,X eng @antonosika (100k followers): Lovable,,,,,https://en.wikipedia.org/wiki/Anton_Osika,unresearched,unverified_candidate,X high-follower engineer/founder @antonosika ~100000 followers; Lovable
9,fe-x-205-09-varun-mohan,Varun Mohan,1990,X eng @_mohansolo (80k followers): Windsurf,,,,,https://en.wikipedia.org/wiki/Varun_Mohan,unresearched,unverified_candidate,X high-follower engineer/founder @_mohansolo ~80000 followers; Windsurf
10,fe-x-205-10-jerry-liu,Jerry Liu,1993,X eng @jerryjliu0 (80k followers): LlamaIndex,,,,,https://en.wikipedia.org/wiki/Jerry_Liu,unresearched,unverified_candidate,X high-follower engineer/founder @jerryjliu0 ~80000 followers; LlamaIndex
11,fe-x-205-11-jim-fan,Jim Fan,1993,X eng @DrJimFan (200k followers): NVIDIA AI,,,,,https://en.wikipedia.org/wiki/Jim_Fan,unresearched,unverified_candidate,X high-follower engineer/founder @DrJimFan ~200000 followers; NVIDIA AI
12,fe-x-205-12-jim-fan-nvidia,Jim Fan NVIDIA,1993,X eng @DrJimFan (200k followers): NVIDIA,,,,,https://en.wikipedia.org/wiki/Jim_Fan,unresearched,unverified_candidate,X high-follower engineer/founder @DrJimFan ~200000 followers; NVIDIA
