candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-x2-213-01-martin-kleppmann,Martin Kleppmann,1982,X @martinkl (100k): DDIA,,,,,https://en.wikipedia.org/wiki/Martin_Kleppmann,unresearched,unverified_candidate,X young-builder wave @martinkl ~100000 followers; DDIA
2,fe-x2-213-02-swyx,swyx,1988,X @swyx (175k): AI eng,,,,,https://en.wikipedia.org/wiki/Shawn_Wang_(swyx),unresearched,unverified_candidate,X young-builder wave @swyx ~175000 followers; AI eng
3,fe-x2-213-03-shawn-wang,Shawn Wang,1988,X @swyx (175k): AI eng,,,,,https://en.wikipedia.org/wiki/Shawn_Wang_(swyx),unresearched,unverified_candidate,X young-builder wave @swyx ~175000 followers; AI eng
4,fe-x2-213-04-theprimeagen,ThePrimeagen,1989,X @ThePrimeagen (372k): Netflix,,,,,https://en.wikipedia.org/wiki/ThePrimeagen,unresearched,unverified_candidate,X young-builder wave @ThePrimeagen ~372000 followers; Netflix
5,fe-x2-213-05-scott-tolinski,Scott Tolinski,1985,X @stolinski (100k): Syntax,,,,,https://twitter.com/stolinski,unresearched,unverified_candidate,X young-builder wave @stolinski ~100000 followers; Syntax
6,fe-x2-213-06-traversy-media,Traversy Media,1985,X @traversymedia (200k): web educator,,,,,https://en.wikipedia.org/wiki/Traversy_Media,unresearched,unverified_candidate,X young-builder wave @traversymedia ~200000 followers; web educator
7,fe-x2-213-07-brad-traversy,Brad Traversy,1985,X @traversymedia (200k): web educator,,,,,https://en.wikipedia.org/wiki/Brad_Traversy,unresearched,unverified_candidate,X young-builder wave @traversymedia ~200000 followers; web educator
8,fe-x2-213-08-quincy-larson,Quincy Larson,1980,X @ossia (300k): freeCodeCamp,,,,,https://en.wikipedia.org/wiki/Quincy_Larson,unresearched,unverified_candidate,X young-builder wave @ossia ~300000 followers; freeCodeCamp
9,fe-x2-213-09-hitesh-choudhary,Hitesh Choudhary,1990,X @Hiteshdotcom (100k): educator,,,,,https://twitter.com/Hiteshdotcom,unresearched,unverified_candidate,X young-builder wave @Hiteshdotcom ~100000 followers; educator
10,fe-x2-213-10-fireship,Fireship,1993,X @fireship_dev (200k): Jeff Delaney,,,,,https://en.wikipedia.org/wiki/Fireship_(YouTube_channel),unresearched,unverified_candidate,X young-builder wave @fireship_dev ~200000 followers; Jeff Delaney
11,fe-x2-213-11-jeff-delaney,Jeff Delaney,1993,X @jeffdelaney23 (100k): Fireship,,,,,https://en.wikipedia.org/wiki/Jeff_Delaney,unresearched,unverified_candidate,X young-builder wave @jeffdelaney23 ~100000 followers; Fireship
12,fe-x2-213-12-ben-awad,Ben Awad,1995,X @benawad (150k): web dev,,,,,https://en.wikipedia.org/wiki/Ben_Awad,unresearched,unverified_candidate,X young-builder wave @benawad ~150000 followers; web dev
