candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-025-01-adrian-bubalo,Adrian Bubalo,,Google engineer,,,,,https://en.wikipedia.org/wiki/Adrian_Bubalo,unresearched,unverified_candidate,Curated: Google engineer
2,fe-025-02-niki-parmar,Niki Parmar,,AI researcher,,,,,https://en.wikipedia.org/wiki/Niki_Parmar,unresearched,unverified_candidate,Curated: AI researcher
3,fe-025-03-russell-a.-brown,Russell A. Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Russell_A._Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-025-04-bartek-filipowicz,Bartek Filipowicz,,C++ author,,,,,https://en.wikipedia.org/wiki/Bartek_Filipowicz,unresearched,unverified_candidate,Curated: C++ author
5,fe-025-05-derek-belch,Derek Belch,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Derek_Belch,unresearched,unverified_candidate,Wikipedia category: American technology company founders
6,fe-025-06-dario-amodei,Dario Amodei,1983,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Dario_Amodei,unresearched,unverified_candidate,Curated: Anthropic founder
7,fe-025-07-tülay-adalı,Tülay Adalı,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Tülay_Adalı,unresearched,unverified_candidate,Wikipedia category: American computer scientists
8,fe-025-08-gabe-newell,Gabe Newell,1962,Valve founder,,,,,https://en.wikipedia.org/wiki/Gabe_Newell,unresearched,unverified_candidate,Curated: Valve founder
9,fe-025-09-kimbal-musk,Kimbal Musk,1972,tech founder,,,,,https://en.wikipedia.org/wiki/Kimbal_Musk,unresearched,unverified_candidate,Curated: tech founder
10,fe-025-10-grumm,Grumm,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Grumm,unresearched,unverified_candidate,Curated: Minecraft developer
11,fe-025-11-rachel-bernstein,Rachel Bernstein,,American software engineers,,,,,https://en.wikipedia.org/wiki/Rachel_Bernstein,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-025-12-jay-alammar,Jay Alammar,,AI educator,,,,,https://en.wikipedia.org/wiki/Jay_Alammar,unresearched,unverified_candidate,Curated: AI educator
