candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-084-01-daniel-gross,Daniel Gross,1987,AngelList/YC partner,,,,,https://en.wikipedia.org/wiki/Daniel_Gross,unresearched,unverified_candidate,Curated: AngelList/YC partner
2,fe-084-02-marsha-berger,Marsha Berger,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Marsha_Berger,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-084-03-lara-schenk,Lara Schenk,,web developer,,,,,https://en.wikipedia.org/wiki/Lara_Schenk,unresearched,unverified_candidate,Curated: web developer
4,fe-084-04-ashish-vaswani,Ashish Vaswani,1986,AI researcher,,,,,https://en.wikipedia.org/wiki/Ashish_Vaswani,unresearched,unverified_candidate,Curated: AI researcher
5,fe-084-05-alec-muffett,Alec Muffett,,American software engineers,,,,,https://en.wikipedia.org/wiki/Alec_Muffett,unresearched,unverified_candidate,Wikipedia category: American software engineers
6,fe-084-06-roshan-sivakumar,Roshan Sivakumar,,tech engineer,,,,,https://en.wikipedia.org/wiki/Roshan_Sivakumar,unresearched,unverified_candidate,Curated: tech engineer
7,fe-084-07-yukihiro-matsumoto,Yukihiro Matsumoto,1965,Ruby creator,,,,,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto,unresearched,unverified_candidate,Curated: Ruby creator
8,fe-084-08-lorenzo-alvisi,Lorenzo Alvisi,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Lorenzo_Alvisi,unresearched,unverified_candidate,Wikipedia category: American computer scientists
9,fe-084-09-rebecca-bace,Rebecca Bace,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rebecca_Bace,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-084-10-margaret-hamilton-(software-engineer),Margaret Hamilton (software engineer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Margaret_Hamilton_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American software engineers
11,fe-084-11-joel-barr,Joel Barr,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Joel_Barr,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-084-12-walter-bright,Walter Bright,1958,D language creator,,,,,https://en.wikipedia.org/wiki/Walter_Bright,unresearched,unverified_candidate,Curated: D language creator
