candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-043-01-jon-shirley,Jon Shirley,,Microsoft CEO,,,,,https://en.wikipedia.org/wiki/Jon_Shirley,unresearched,unverified_candidate,Curated: Microsoft CEO
2,fe-043-02-allen-blue,Allen Blue,,LinkedIn founder,,,,,https://en.wikipedia.org/wiki/Allen_Blue,unresearched,unverified_candidate,Curated: LinkedIn founder
3,fe-043-03-jean-baptiste-alayrac,Jean-Baptiste Alayrac,,AI researcher,,,,,https://en.wikipedia.org/wiki/Jean-Baptiste_Alayrac,unresearched,unverified_candidate,Curated: AI researcher
4,fe-043-04-niklaus-wirth,Niklaus Wirth,1934,CS researcher,,,,,https://en.wikipedia.org/wiki/Niklaus_Wirth,unresearched,unverified_candidate,Curated: CS researcher
5,fe-043-05-vint-cerf,Vint Cerf,1943,TCP/IP creator,,,,,https://en.wikipedia.org/wiki/Vint_Cerf,unresearched,unverified_candidate,Curated: TCP/IP creator
6,fe-043-06-aditya-akella,Aditya Akella,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Aditya_Akella,unresearched,unverified_candidate,Wikipedia category: American computer scientists
7,fe-043-07-brian-rakowski,Brian Rakowski,,Chrome engineer,,,,,https://en.wikipedia.org/wiki/Brian_Rakowski,unresearched,unverified_candidate,Curated: Chrome engineer
8,fe-043-08-andreas-fertig,Andreas Fertig,,C++ author,,,,,https://en.wikipedia.org/wiki/Andreas_Fertig,unresearched,unverified_candidate,Curated: C++ author
9,fe-043-09-tim-caswell,Tim Caswell,,open source maintainer,,,,,https://en.wikipedia.org/wiki/Tim_Caswell,unresearched,unverified_candidate,Curated: open source maintainer
10,fe-043-10-xiaohua-zhai,Xiaohua Zhai,,AI researcher,,,,,https://en.wikipedia.org/wiki/Xiaohua_Zhai,unresearched,unverified_candidate,Curated: AI researcher
11,fe-043-11-gavin-kliger,Gavin Kliger,,American software engineers,,,,,https://en.wikipedia.org/wiki/Gavin_Kliger,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-043-12-richard-v.-andree,Richard V. Andree,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Richard_V._Andree,unresearched,unverified_candidate,Wikipedia category: American computer scientists
