candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-x2-212-01-agnes-larsson,Agnes Larsson,1989,X @_LadyAgnes (100k): Minecraft,,,,,https://en.wikipedia.org/wiki/Agnes_Larsson,unresearched,unverified_candidate,X young-builder wave @_LadyAgnes ~100000 followers; Minecraft
2,fe-x2-212-02-helen-liang,Helen Liang,1990,X @helenliang (40k): game eng,,,,,https://twitter.com/helenliang,unresearched,unverified_candidate,X young-builder wave @helenliang ~40000 followers; game eng
3,fe-x2-212-03-patrick-campbell,Patrick Campbell,1987,X @patticus (50k): ProfitWell,,,,,https://en.wikipedia.org/wiki/Patrick_Campbell_(entrepreneur),unresearched,unverified_candidate,X young-builder wave @patticus ~50000 followers; ProfitWell
4,fe-x2-212-04-eric-costello,Eric Costello,1978,X @ericcostello (40k): Slack,,,,,https://twitter.com/ericcostello,unresearched,unverified_candidate,X young-builder wave @ericcostello ~40000 followers; Slack
5,fe-x2-212-05-ben-golub,Ben Golub,1968,X @bengolub (40k): Docker,,,,,https://en.wikipedia.org/wiki/Ben_Golub,unresearched,unverified_candidate,X young-builder wave @bengolub ~40000 followers; Docker
6,fe-x2-212-06-christine-yen,Christine Yen,1985,X @christine_yen (40k): Honeycomb,,,,,https://en.wikipedia.org/wiki/Christine_Yen,unresearched,unverified_candidate,X young-builder wave @christine_yen ~40000 followers; Honeycomb
7,fe-x2-212-07-ben-treynor-sloss,Ben Treynor Sloss,1972,X @btresnor (40k): Google SRE,,,,,https://en.wikipedia.org/wiki/Ben_Treynor_Sloss,unresearched,unverified_candidate,X young-builder wave @btresnor ~40000 followers; Google SRE
8,fe-x2-212-08-rich-hickey,Rich Hickey,1965,X @richhickey (100k): Clojure,,,,,https://en.wikipedia.org/wiki/Rich_Hickey,unresearched,unverified_candidate,X young-builder wave @richhickey ~100000 followers; Clojure
9,fe-x2-212-09-david-nolen,David Nolen,1980,X @swannodette (50k): ClojureScript,,,,,https://en.wikipedia.org/wiki/David_Nolen,unresearched,unverified_candidate,X young-builder wave @swannodette ~50000 followers; ClojureScript
10,fe-x2-212-10-fabrice-bellard,Fabrice Bellard,1972,X @bellard (50k): FFmpeg QEMU,,,,,https://en.wikipedia.org/wiki/Fabrice_Bellard,unresearched,unverified_candidate,X young-builder wave @bellard ~50000 followers; FFmpeg QEMU
11,fe-x2-212-11-antirez,Antirez,1977,X @antirez (120k): Redis,,,,,https://en.wikipedia.org/wiki/Salvatore_Sanfilippo,unresearched,unverified_candidate,X young-builder wave @antirez ~120000 followers; Redis
12,fe-x2-212-12-uncle-bob,Uncle Bob,1952,X @unclebobmartin (200k): Clean Code,,,,,https://en.wikipedia.org/wiki/Robert_C._Martin,unresearched,unverified_candidate,X young-builder wave @unclebobmartin ~200000 followers; Clean Code
