candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-032-01-stanley-ching,Stanley Ching,,AngelList founder,,,,,https://en.wikipedia.org/wiki/Stanley_Ching,unresearched,unverified_candidate,Curated: AngelList founder
2,fe-032-02-greg-bryant-(computer-scientist),Greg Bryant (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Greg_Bryant_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-032-03-johanna-brewer,Johanna Brewer,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Johanna_Brewer,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-032-04-stephan-lavavej,Stephan Lavavej,,C++ library maintainer,,,,,https://en.wikipedia.org/wiki/Stephan_Lavavej,unresearched,unverified_candidate,Curated: C++ library maintainer
5,fe-032-05-scott-meyers,Scott Meyers,1959,C++ author,,,,,https://en.wikipedia.org/wiki/Scott_Meyers,unresearched,unverified_candidate,Curated: C++ author
6,fe-032-06-sandi-metz,Sandi Metz,,American software engineers,,,,,https://en.wikipedia.org/wiki/Sandi_Metz,unresearched,unverified_candidate,Wikipedia category: American software engineers
7,fe-032-07-katherine-maher,Katherine Maher,1983,Wikimedia CEO,,,,,https://en.wikipedia.org/wiki/Katherine_Maher,unresearched,unverified_candidate,Curated: Wikimedia CEO
8,fe-032-08-cory-watson,Cory Watson,,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Cory_Watson,unresearched,unverified_candidate,Curated: Netflix engineer
9,fe-032-09-lukasz-kaiser,Lukasz Kaiser,,AI researcher,,,,,https://en.wikipedia.org/wiki/Lukasz_Kaiser,unresearched,unverified_candidate,Curated: AI researcher
10,fe-032-10-philip-s.-abrams,Philip S. Abrams,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Philip_S._Abrams,unresearched,unverified_candidate,Wikipedia category: American computer scientists
11,fe-032-11-arvind-(computer-scientist),Arvind (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Arvind_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-032-12-garlin-gilchrist,Garlin Gilchrist,,American software engineers,,,,,https://en.wikipedia.org/wiki/Garlin_Gilchrist,unresearched,unverified_candidate,Wikipedia category: American software engineers
