candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-019-01-ursula-burns,Ursula Burns,1958,Xerox CEO,,,,,https://en.wikipedia.org/wiki/Ursula_Burns,unresearched,unverified_candidate,Curated: Xerox CEO
2,fe-019-02-saman-amarasinghe,Saman Amarasinghe,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Saman_Amarasinghe,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-019-03-mubarak-muyika,Mubarak Muyika,,American software engineers,,,,,https://en.wikipedia.org/wiki/Mubarak_Muyika,unresearched,unverified_candidate,Wikipedia category: American software engineers
4,fe-019-04-luyu-yang,Luyu Yang,,Musical.ly founder,,,,,https://en.wikipedia.org/wiki/Luyu_Yang,unresearched,unverified_candidate,Curated: Musical.ly founder
5,fe-019-05-cliff-bleszinski,Cliff Bleszinski,1975,Epic Games designer,,,,,https://en.wikipedia.org/wiki/Cliff_Bleszinski,unresearched,unverified_candidate,Curated: Epic Games designer
6,fe-019-06--tobias-möllstam, Tobias Möllstam,,Mojang engineer,,,,,https://en.wikipedia.org/wiki/_Tobias_Möllstam,unresearched,unverified_candidate,Curated: Mojang engineer
7,fe-019-07-kyle-vogt,Kyle Vogt,1985,YC founder,,,,,https://en.wikipedia.org/wiki/Kyle_Vogt,unresearched,unverified_candidate,Curated: YC founder
8,fe-019-08-jason-weston,Jason Weston,1971,ML researcher,,,,,https://en.wikipedia.org/wiki/Jason_Weston,unresearched,unverified_candidate,Curated: ML researcher
9,fe-019-09-jens-bergensten,Jens Bergensten,1984,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Jens_Bergensten,unresearched,unverified_candidate,Curated: Minecraft developer
10,fe-019-10-jyoti-bansal,Jyoti Bansal,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Jyoti_Bansal,unresearched,unverified_candidate,Wikipedia category: American technology company founders
11,fe-019-11-l.-jean-camp,L. Jean Camp,,American computer scientists,,,,,https://en.wikipedia.org/wiki/L._Jean_Camp,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-019-12-david-bader-(computer-scientist),David Bader (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/David_Bader_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
