candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-028-01-adora-cheung,Adora Cheung,,YC founder,,,,,https://en.wikipedia.org/wiki/Adora_Cheung,unresearched,unverified_candidate,Curated: YC founder
2,fe-028-02-martin-lorentzon,Martin Lorentzon,1969,Spotify founder,,,,,https://en.wikipedia.org/wiki/Martin_Lorentzon,unresearched,unverified_candidate,Curated: Spotify founder
3,fe-028-03-amjith-ramanan,Amjith Ramanan,,tech engineer,,,,,https://en.wikipedia.org/wiki/Amjith_Ramanan,unresearched,unverified_candidate,Curated: tech engineer
4,fe-028-04-llion-jones,Llion Jones,1986,AI researcher,,,,,https://en.wikipedia.org/wiki/Llion_Jones,unresearched,unverified_candidate,Curated: AI researcher
5,fe-028-05-paul-buchheit,Paul Buchheit,1977,YC partner,,,,,https://en.wikipedia.org/wiki/Paul_Buchheit,unresearched,unverified_candidate,Curated: YC partner
6,fe-028-06-brian-leroux,Brian Leroux,1979,Adobe/PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Brian_Leroux,unresearched,unverified_candidate,Curated: Adobe/PhoneGap engineer
7,fe-028-07-joshua-bloch,Joshua Bloch,,American software engineers,,,,,https://en.wikipedia.org/wiki/Joshua_Bloch,unresearched,unverified_candidate,Wikipedia category: American software engineers
8,fe-028-08-chandrajit-bajaj,Chandrajit Bajaj,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Chandrajit_Bajaj,unresearched,unverified_candidate,Wikipedia category: American computer scientists
9,fe-028-09-chris-barton-(businessman),Chris Barton (businessman),,American technology company founders,,,,,https://en.wikipedia.org/wiki/Chris_Barton_(businessman),unresearched,unverified_candidate,Wikipedia category: American technology company founders
10,fe-028-10-matt-cohler,Matt Cohler,1977,Facebook VP,,,,,https://en.wikipedia.org/wiki/Matt_Cohler,unresearched,unverified_candidate,Curated: Facebook VP
11,fe-028-11-nikolai-mushegian,Nikolai Mushegian,,American software engineers,,,,,https://en.wikipedia.org/wiki/Nikolai_Mushegian,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-028-12-michael-graff,Michael Graff,,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_Graff,unresearched,unverified_candidate,Wikipedia category: American software engineers
