candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-106-01-phil-schiller,Phil Schiller,1960,Founder: Apple,,,,,https://en.wikipedia.org/wiki/Phil_Schiller,unresearched,unverified_candidate,40pct high-yield founder: Apple
2,fe-106-02-trae-stephens,Trae Stephens,1983,Founder: Anduril,,,,,https://en.wikipedia.org/wiki/Trae_Stephens,unresearched,unverified_candidate,40pct high-yield founder: Anduril
3,fe-106-03-brian-schimpf,Brian Schimpf,1985,Founder: Anduril,,,,,https://en.wikipedia.org/wiki/Brian_Schimpf,unresearched,unverified_candidate,40pct high-yield founder: Anduril
4,fe-106-04-matt-grimm,Matt Grimm,1985,Founder: Anduril,,,,,https://en.wikipedia.org/wiki/Matt_Grimm,unresearched,unverified_candidate,40pct high-yield founder: Anduril
5,fe-106-05-luckey-palmer,Luckey Palmer,1992,Founder: Oculus,,,,,https://en.wikipedia.org/wiki/Palmer_Luckey,unresearched,unverified_candidate,40pct high-yield founder: Oculus
6,fe-106-06-vlad-magdalin,Vlad Magdalin,1985,Founder: Webflow,,,,,https://en.wikipedia.org/wiki/Vlad_Magdalin,unresearched,unverified_candidate,40pct high-yield founder: Webflow
7,fe-106-07-bryant-chou,Bryant Chou,1985,Founder: Webflow,,,,,https://en.wikipedia.org/wiki/Bryant_Chou,unresearched,unverified_candidate,40pct high-yield founder: Webflow
8,fe-106-08-sergie-magdalin,Sergie Magdalin,1987,Founder: Webflow,,,,,https://en.wikipedia.org/wiki/Sergie_Magdalin,unresearched,unverified_candidate,40pct high-yield founder: Webflow
9,fe-106-09-scott-lake,Scott Lake,1980,Founder: Shopify,,,,,https://en.wikipedia.org/wiki/Scott_Lake,unresearched,unverified_candidate,40pct high-yield founder: Shopify
10,fe-106-10-harley-finkelstein,Harley Finkelstein,1983,Founder: Shopify,,,,,https://en.wikipedia.org/wiki/Harley_Finkelstein,unresearched,unverified_candidate,40pct high-yield founder: Shopify
11,fe-106-11-anthony-pompliano,Anthony Pompliano,1988,Founder: crypto,,,,,https://en.wikipedia.org/wiki/Anthony_Pompliano,unresearched,unverified_candidate,40pct high-yield founder: crypto
12,fe-106-12-erik-voorhees,Erik Voorhees,1981,Founder: ShapeShift,,,,,https://en.wikipedia.org/wiki/Erik_Voorhees,unresearched,unverified_candidate,40pct high-yield founder: ShapeShift
