candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-077-01-ian-coldwater,Ian Coldwater,,American software engineers,,,,,https://en.wikipedia.org/wiki/Ian_Coldwater,unresearched,unverified_candidate,Wikipedia category: American software engineers
2,fe-077-02-ashar-aziz,Ashar Aziz,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Ashar_Aziz,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-077-03-sanjay-ghemawat,Sanjay Ghemawat,1966,Google engineer,,,,,https://en.wikipedia.org/wiki/Sanjay_Ghemawat,unresearched,unverified_candidate,Curated: Google engineer
4,fe-077-04-serge-belongie,Serge Belongie,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Serge_Belongie,unresearched,unverified_candidate,Wikipedia category: American computer scientists
5,fe-077-05-coraline-ada-ehmke,Coraline Ada Ehmke,,American software engineers,,,,,https://en.wikipedia.org/wiki/Coraline_Ada_Ehmke,unresearched,unverified_candidate,Wikipedia category: American software engineers
6,fe-077-06-paul-graham,Paul Graham,1964,YC founder,,,,,https://en.wikipedia.org/wiki/Paul_Graham,unresearched,unverified_candidate,Curated: YC founder
7,fe-077-07-watts-humphrey,Watts Humphrey,,American software engineers,,,,,https://en.wikipedia.org/wiki/Watts_Humphrey,unresearched,unverified_candidate,Wikipedia category: American software engineers
8,fe-077-08-brent-beer,Brent Beer,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Brent_Beer,unresearched,unverified_candidate,Curated: GitHub engineer
9,fe-077-09-susan-wojcicki,Susan Wojcicki,1968,Google VP,,,,,https://en.wikipedia.org/wiki/Susan_Wojcicki,unresearched,unverified_candidate,Curated: Google VP
10,fe-077-10-rick-adams-(internet-pioneer),Rick Adams (Internet pioneer),,American technology company founders,,,,,https://en.wikipedia.org/wiki/Rick_Adams_(Internet_pioneer),unresearched,unverified_candidate,Wikipedia category: American technology company founders
11,fe-077-11-yahn-bernier,Yahn Bernier,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Yahn_Bernier,unresearched,unverified_candidate,Curated: Valve engineer
12,fe-077-12-aubrey-edwards,Aubrey Edwards,,American software engineers,,,,,https://en.wikipedia.org/wiki/Aubrey_Edwards,unresearched,unverified_candidate,Wikipedia category: American software engineers
