candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-040-01-boaz-barak,Boaz Barak,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Boaz_Barak,unresearched,unverified_candidate,Wikipedia category: American computer scientists
2,fe-040-02-roi-feldman,Roi Feldman,,tech engineer,,,,,https://en.wikipedia.org/wiki/Roi_Feldman,unresearched,unverified_candidate,Curated: tech engineer
3,fe-040-03-jeff-bezanson,Jeff Bezanson,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Jeff_Bezanson,unresearched,unverified_candidate,Wikipedia category: American technology company founders
4,fe-040-04-terry-benzel,Terry Benzel,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Terry_Benzel,unresearched,unverified_candidate,Wikipedia category: American computer scientists
5,fe-040-05-nick-szabo,Nick Szabo,1964,crypto pioneer,,,,,https://en.wikipedia.org/wiki/Nick_Szabo,unresearched,unverified_candidate,Curated: crypto pioneer
6,fe-040-06-david-galbraith,David Galbraith,,tech founder,,,,,https://en.wikipedia.org/wiki/David_Galbraith,unresearched,unverified_candidate,Curated: tech founder
7,fe-040-07-dinnerbone,Dinnerbone,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Dinnerbone,unresearched,unverified_candidate,Curated: Minecraft developer
8,fe-040-08-jocelyn-goldfein,Jocelyn Goldfein,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Jocelyn_Goldfein,unresearched,unverified_candidate,Curated: Facebook engineer
9,fe-040-09-ricardo-baeza-yates,Ricardo Baeza-Yates,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Ricardo_Baeza-Yates,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-040-10-a.-j.-brush,A. J. Brush,,American computer scientists,,,,,https://en.wikipedia.org/wiki/A._J._Brush,unresearched,unverified_candidate,Wikipedia category: American computer scientists
11,fe-040-11-reshma-saujani,Reshma Saujani,1975,Girls Who Code founder,,,,,https://en.wikipedia.org/wiki/Reshma_Saujani,unresearched,unverified_candidate,Curated: Girls Who Code founder
12,fe-040-12-bryan-bishop,Bryan Bishop,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Bryan_Bishop,unresearched,unverified_candidate,Curated: Bitcoin contributor
