candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-005-01-kevin-chou,Kevin Chou,1980,Kabam founder,,,,,https://en.wikipedia.org/wiki/Kevin_Chou,unresearched,unverified_candidate,Curated: Kabam founder
2,fe-005-02-aaron-harris,Aaron Harris,1980,YC partner,,,,,https://en.wikipedia.org/wiki/Aaron_Harris,unresearched,unverified_candidate,Curated: YC partner
3,fe-005-03-benjamin-black,Benjamin Black,,AWS engineer,,,,,https://en.wikipedia.org/wiki/Benjamin_Black,unresearched,unverified_candidate,Curated: AWS engineer
4,fe-005-04-naomi-ceder,Naomi Ceder,,American software engineers,,,,,https://en.wikipedia.org/wiki/Naomi_Ceder,unresearched,unverified_candidate,Wikipedia category: American software engineers
5,fe-005-05-kent-beck,Kent Beck,1961,XP/TDD creator,,,,,https://en.wikipedia.org/wiki/Kent_Beck,unresearched,unverified_candidate,Curated: XP/TDD creator
6,fe-005-06-nick-begich-iii,Nick Begich III,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Nick_Begich_III,unresearched,unverified_candidate,Wikipedia category: American technology company founders
7,fe-005-07-steve-westly,Steve Westly,1957,eBay VP,,,,,https://en.wikipedia.org/wiki/Steve_Westly,unresearched,unverified_candidate,Curated: eBay VP
8,fe-005-08-jewel-burks,Jewel Burks,,tech founder,,,,,https://en.wikipedia.org/wiki/Jewel_Burks,unresearched,unverified_candidate,Curated: tech founder
9,fe-005-09-evan-sharp,Evan Sharp,1982,Pinterest founder,,,,,https://en.wikipedia.org/wiki/Evan_Sharp,unresearched,unverified_candidate,Curated: Pinterest founder
10,fe-005-10-peter-thiel,Peter Thiel,1967,PayPal founder,,,,,https://en.wikipedia.org/wiki/Peter_Thiel,unresearched,unverified_candidate,Curated: PayPal founder
11,fe-005-11-timothy-w.-bickmore,Timothy W. Bickmore,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Timothy_W._Bickmore,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-005-12-nils-lahr,Nils Lahr,,American software engineers,,,,,https://en.wikipedia.org/wiki/Nils_Lahr,unresearched,unverified_candidate,Wikipedia category: American software engineers
