candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-059-01-patri-friedman,Patri Friedman,,American software engineers,,,,,https://en.wikipedia.org/wiki/Patri_Friedman,unresearched,unverified_candidate,Wikipedia category: American software engineers
2,fe-059-02-dana-angluin,Dana Angluin,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Dana_Angluin,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-059-03-michael-pryor,Michael Pryor,1975,Trello founder,,,,,https://en.wikipedia.org/wiki/Michael_Pryor,unresearched,unverified_candidate,Curated: Trello founder
4,fe-059-04-sindre-sorhus,Sindre Sorhus,1987,open source maintainer,,,,,https://en.wikipedia.org/wiki/Sindre_Sorhus,unresearched,unverified_candidate,Curated: open source maintainer
5,fe-059-05-maya-ackerman,Maya Ackerman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Maya_Ackerman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
6,fe-059-06-ian-wright,Ian Wright,,Tesla founder,,,,,https://en.wikipedia.org/wiki/Ian_Wright,unresearched,unverified_candidate,Curated: Tesla founder
7,fe-059-07-kelsey-hightower,Kelsey Hightower,1981,Google/Cloud engineer,,,,,https://en.wikipedia.org/wiki/Kelsey_Hightower,unresearched,unverified_candidate,Curated: Google/Cloud engineer
8,fe-059-08-evan-neumann,Evan Neumann,,American software engineers,,,,,https://en.wikipedia.org/wiki/Evan_Neumann,unresearched,unverified_candidate,Wikipedia category: American software engineers
9,fe-059-09-robert-b.-grady,Robert B. Grady,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_B._Grady,unresearched,unverified_candidate,Wikipedia category: American software engineers
10,fe-059-10-drew-hamlin,Drew Hamlin,,tech engineer,,,,,https://en.wikipedia.org/wiki/Drew_Hamlin,unresearched,unverified_candidate,Curated: tech engineer
11,fe-059-11-chris-cox,Chris Cox,1982,Facebook VP,,,,,https://en.wikipedia.org/wiki/Chris_Cox,unresearched,unverified_candidate,Curated: Facebook VP
12,fe-059-12-gautier-izacard,Gautier Izacard,,AI researcher,,,,,https://en.wikipedia.org/wiki/Gautier_Izacard,unresearched,unverified_candidate,Curated: AI researcher
