candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-067-01-sasha-rush,Sasha Rush,,AI researcher,,,,,https://en.wikipedia.org/wiki/Sasha_Rush,unresearched,unverified_candidate,Curated: AI researcher
2,fe-067-02-ted-dabney,Ted Dabney,1937,Atari founder,,,,,https://en.wikipedia.org/wiki/Ted_Dabney,unresearched,unverified_candidate,Curated: Atari founder
3,fe-067-03-joan-boyar,Joan Boyar,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Joan_Boyar,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-067-04-kevin-laws,Kevin Laws,,AngelList founder,,,,,https://en.wikipedia.org/wiki/Kevin_Laws,unresearched,unverified_candidate,Curated: AngelList founder
5,fe-067-05-randy-lundblad,Randy Lundblad,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Randy_Lundblad,unresearched,unverified_candidate,Curated: Valve engineer
6,fe-067-06-christophe-coenraets,Christophe Coenraets,,Adobe engineer,,,,,https://en.wikipedia.org/wiki/Christophe_Coenraets,unresearched,unverified_candidate,Curated: Adobe engineer
7,fe-067-07-james-pearce,James Pearce,,tech engineer,,,,,https://en.wikipedia.org/wiki/James_Pearce,unresearched,unverified_candidate,Curated: tech engineer
8,fe-067-08-operations-support-branch,Operations Support Branch,,American software engineers,,,,,https://en.wikipedia.org/wiki/Operations_Support_Branch,unresearched,unverified_candidate,Wikipedia category: American software engineers
9,fe-067-09-yishan-wong,Yishan Wong,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Yishan_Wong,unresearched,unverified_candidate,Curated: Facebook engineer
10,fe-067-10-fabián-e.-bustamante,Fabián E. Bustamante,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Fabián_E._Bustamante,unresearched,unverified_candidate,Wikipedia category: American computer scientists
11,fe-067-11-mikhail-bourtsev,Mikhail Bourtsev,,tech engineer,,,,,https://en.wikipedia.org/wiki/Mikhail_Bourtsev,unresearched,unverified_candidate,Curated: tech engineer
12,fe-067-12-james-v.-barnett-ii,James V. Barnett II,,American technology company founders,,,,,https://en.wikipedia.org/wiki/James_V._Barnett_II,unresearched,unverified_candidate,Wikipedia category: American technology company founders
