candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-x-202-01-lex-fridman,Lex Fridman,1983,X eng @lexfridman (3000k followers): MIT AI podcast,,,,,https://en.wikipedia.org/wiki/Lex_Fridman,unresearched,unverified_candidate,X high-follower engineer/founder @lexfridman ~3000000 followers; MIT AI podcast
2,fe-x-202-02-yohei-nakajima,Yohei Nakajima,1985,X eng @yoheinakajima (100k followers): BabyAGI,,,,,https://en.wikipedia.org/wiki/Yohei_Nakajima,unresearched,unverified_candidate,X high-follower engineer/founder @yoheinakajima ~100000 followers; BabyAGI
3,fe-x-202-03-marc-lou,Marc Lou,1995,X eng @marclou (150k followers): indie SaaS,,,,,https://en.wikipedia.org/wiki/Marc_Lou,unresearched,unverified_candidate,X high-follower engineer/founder @marclou ~150000 followers; indie SaaS
4,fe-x-202-04-tibo-louis-lucas,Tibo Louis-Lucas,1995,X eng @tibo_maker (100k followers): indie maker,,,,,https://en.wikipedia.org/wiki/Tibo_Louis-Lucas,unresearched,unverified_candidate,X high-follower engineer/founder @tibo_maker ~100000 followers; indie maker
5,fe-x-202-05-daniel-vassallo,Daniel Vassallo,1985,X eng @dvassallo (80k followers): indie engineer,,,,,https://en.wikipedia.org/wiki/Daniel_Vassallo,unresearched,unverified_candidate,X high-follower engineer/founder @dvassallo ~80000 followers; indie engineer
6,fe-x-202-06-mattt-thompson,Mattt Thompson,1986,X eng @mattt (80k followers): iOS AFNetworking,,,,,https://en.wikipedia.org/wiki/Mattt,unresearched,unverified_candidate,X high-follower engineer/founder @mattt ~80000 followers; iOS AFNetworking
7,fe-x-202-07-ole-begemann,Ole Begemann,1979,X eng @olebegemann (50k followers): Swift,,,,,https://en.wikipedia.org/wiki/Ole_Begemann,unresearched,unverified_candidate,X high-follower engineer/founder @olebegemann ~50000 followers; Swift
8,fe-x-202-08-chris-eidhof,Chris Eidhof,1984,X eng @chriseidhof (50k followers): SwiftUI,,,,,https://en.wikipedia.org/wiki/Chris_Eidhof,unresearched,unverified_candidate,X high-follower engineer/founder @chriseidhof ~50000 followers; SwiftUI
9,fe-x-202-09-paul-hudson,Paul Hudson,1980,X eng @twostraws (80k followers): Hacking with Swift,,,,,https://en.wikipedia.org/wiki/Paul_Hudson_(programmer),unresearched,unverified_candidate,X high-follower engineer/founder @twostraws ~80000 followers; Hacking with Swift
10,fe-x-202-10-steve-klabnik,Steve Klabnik,1986,X eng @steveklabnik (80k followers): Rust,,,,,https://en.wikipedia.org/wiki/Steve_Klabnik,unresearched,unverified_candidate,X high-follower engineer/founder @steveklabnik ~80000 followers; Rust
11,fe-x-202-11-carol-nichols,Carol Nichols,1986,X eng @carols10cents (50k followers): Rust,,,,,https://en.wikipedia.org/wiki/Carol_Nichols,unresearched,unverified_candidate,X high-follower engineer/founder @carols10cents ~50000 followers; Rust
12,fe-x-202-12-niko-matsakis,Niko Matsakis,1980,X eng @nikomatsakis (50k followers): Rust,,,,,https://en.wikipedia.org/wiki/Niko_Matsakis,unresearched,unverified_candidate,X high-follower engineer/founder @nikomatsakis ~50000 followers; Rust
