candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-110-01-eric-vishria,Eric Vishria,1979,Founder: Benchmark,,,,,https://en.wikipedia.org/wiki/Eric_Vishria,unresearched,unverified_candidate,40pct high-yield founder: Benchmark
2,fe-110-02-chetan-puttagunta,Chetan Puttagunta,1985,Founder: Benchmark,,,,,https://en.wikipedia.org/wiki/Chetan_Puttagunta,unresearched,unverified_candidate,40pct high-yield founder: Benchmark
3,fe-110-03-mamoon-hamid,Mamoon Hamid,1978,Founder: Kleiner Perkins,,,,,https://en.wikipedia.org/wiki/Mamoon_Hamid,unresearched,unverified_candidate,40pct high-yield founder: Kleiner Perkins
4,fe-110-04-john-doerr,John Doerr,1951,Founder: Kleiner Perkins,,,,,https://en.wikipedia.org/wiki/John_Doerr,unresearched,unverified_candidate,40pct high-yield founder: Kleiner Perkins
5,fe-110-05-scott-mcnealy,Scott McNealy,1954,Founder: Sun,,,,,https://en.wikipedia.org/wiki/Scott_McNealy,unresearched,unverified_candidate,40pct high-yield founder: Sun
6,fe-110-06-larry-ellison,Larry Ellison,1944,Founder: Oracle,,,,,https://en.wikipedia.org/wiki/Larry_Ellison,unresearched,unverified_candidate,40pct high-yield founder: Oracle
7,fe-110-07-bob-miner,Bob Miner,1941,Founder: Oracle,,,,,https://en.wikipedia.org/wiki/Bob_Miner,unresearched,unverified_candidate,40pct high-yield founder: Oracle
8,fe-110-08-ed-oates,Ed Oates,1946,Founder: Oracle,,,,,https://en.wikipedia.org/wiki/Ed_Oates,unresearched,unverified_candidate,40pct high-yield founder: Oracle
9,fe-110-09-parker-harris,Parker Harris,1966,Founder: Salesforce,,,,,https://en.wikipedia.org/wiki/Parker_Harris,unresearched,unverified_candidate,40pct high-yield founder: Salesforce
10,fe-110-10-dave-duffield,Dave Duffield,1940,Founder: PeopleSoft/Workday,,,,,https://en.wikipedia.org/wiki/Dave_Duffield,unresearched,unverified_candidate,40pct high-yield founder: PeopleSoft/Workday
11,fe-110-11-aneel-bhusri,Aneel Bhusri,1966,Founder: Workday,,,,,https://en.wikipedia.org/wiki/Aneel_Bhusri,unresearched,unverified_candidate,40pct high-yield founder: Workday
12,fe-110-12-tom-siebel,Tom Siebel,1952,Founder: Siebel,,,,,https://en.wikipedia.org/wiki/Tom_Siebel,unresearched,unverified_candidate,40pct high-yield founder: Siebel
