candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-035-01-bob-lee-(businessman),Bob Lee (businessman),,American software engineers,,,,,https://en.wikipedia.org/wiki/Bob_Lee_(businessman),unresearched,unverified_candidate,Wikipedia category: American software engineers
2,fe-035-02-willem-van-biljon,Willem van Biljon,,AWS engineer,,,,,https://en.wikipedia.org/wiki/Willem_van_Biljon,unresearched,unverified_candidate,Curated: AWS engineer
3,fe-035-03-katherine-johnson,Katherine Johnson,1918,NASA mathematician,,,,,https://en.wikipedia.org/wiki/Katherine_Johnson,unresearched,unverified_candidate,Curated: NASA mathematician
4,fe-035-04-ezra-callahan,Ezra Callahan,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Ezra_Callahan,unresearched,unverified_candidate,Curated: Facebook engineer
5,fe-035-05-james-bidzos,James Bidzos,,American technology company founders,,,,,https://en.wikipedia.org/wiki/James_Bidzos,unresearched,unverified_candidate,Wikipedia category: American technology company founders
6,fe-035-06-tom-gruber,Tom Gruber,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tom_Gruber,unresearched,unverified_candidate,Wikipedia category: American software engineers
7,fe-035-07-steve-lee,Steve Lee,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Steve_Lee,unresearched,unverified_candidate,Curated: Bitcoin contributor
8,fe-035-08-john-britton,John Britton,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/John_Britton,unresearched,unverified_candidate,Curated: GitHub engineer
9,fe-035-09-deborah-washington-brown,Deborah Washington Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Deborah_Washington_Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-035-10-molly-graham,Molly Graham,,Facebook comms,,,,,https://en.wikipedia.org/wiki/Molly_Graham,unresearched,unverified_candidate,Curated: Facebook comms
11,fe-035-11-terri-burns,Terri Burns,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Terri_Burns,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-035-12-barbara-liskov,Barbara Liskov,1939,CS researcher,,,,,https://en.wikipedia.org/wiki/Barbara_Liskov,unresearched,unverified_candidate,Curated: CS researcher
