candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-w3-221-01-ijustine,iJustine,1984,Founder/eng: tech YouTube,,,,,https://en.wikipedia.org/wiki/IJustine,unresearched,unverified_candidate,Wave3 addition: tech YouTube
2,fe-w3-221-02-unbox-therapy,Unbox Therapy,1985,Founder/eng: tech YouTube,,,,,https://en.wikipedia.org/wiki/Lewis_Hilsenteger,unresearched,unverified_candidate,Wave3 addition: tech YouTube
3,fe-w3-221-03-lewis-hilsenteger,Lewis Hilsenteger,1985,Founder/eng: Unbox Therapy,,,,,https://en.wikipedia.org/wiki/Lewis_Hilsenteger,unresearched,unverified_candidate,Wave3 addition: Unbox Therapy
4,fe-w3-221-04-felix-kjellberg,Felix Kjellberg,1989,Founder/eng: PewDiePie,,,,,https://en.wikipedia.org/wiki/PewDiePie,unresearched,unverified_candidate,Wave3 addition: PewDiePie
5,fe-w3-221-05-tyler-blevins,Tyler Blevins,1991,Founder/eng: Ninja,,,,,https://en.wikipedia.org/wiki/Ninja_(gamer),unresearched,unverified_candidate,Wave3 addition: Ninja
6,fe-w3-221-06-bugha,Bugha,2002,Founder/eng: Fortnite WC,,,,,https://en.wikipedia.org/wiki/Bugha,unresearched,unverified_candidate,Wave3 addition: Fortnite WC
7,fe-w3-221-07-n0tail,N0tail,1993,Founder/eng: Dota,,,,,https://en.wikipedia.org/wiki/N0tail,unresearched,unverified_candidate,Wave3 addition: Dota
8,fe-w3-221-08-jared-isaacman,Jared Isaacman,1983,Founder/eng: Shift4,,,,,https://en.wikipedia.org/wiki/Jared_Isaacman,unresearched,unverified_candidate,Wave3 addition: Shift4
9,fe-w3-221-09-chris-messina,Chris Messina,1981,Founder/eng: hashtag,,,,,https://en.wikipedia.org/wiki/Chris_Messina_(open-source_advocate),unresearched,unverified_candidate,Wave3 addition: hashtag
10,fe-w3-221-10-tom-coates,Tom Coates,1974,Founder/eng: Yahoo,,,,,https://en.wikipedia.org/wiki/Tom_Coates,unresearched,unverified_candidate,Wave3 addition: Yahoo
11,fe-w3-221-11-tantek-elik,Tantek Çelik,1975,Founder/eng: microformats,,,,,https://en.wikipedia.org/wiki/Tantek_%C3%87elik,unresearched,unverified_candidate,Wave3 addition: microformats
12,fe-w3-221-12-kevin-marks,Kevin Marks,1967,Founder/eng: microformats,,,,,https://en.wikipedia.org/wiki/Kevin_Marks,unresearched,unverified_candidate,Wave3 addition: microformats
