candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-102-01-jonathan-badeen,Jonathan Badeen,1984,Founder: Tinder,,,,,https://en.wikipedia.org/wiki/Jonathan_Badeen,unresearched,unverified_candidate,40pct high-yield founder: Tinder
2,fe-102-02-chris-mccord,Chris McCord,1986,Founder: Phoenix LiveView,,,,,https://en.wikipedia.org/wiki/Chris_McCord,unresearched,unverified_candidate,40pct high-yield founder: Phoenix LiveView
3,fe-102-03-jos-valim,José Valim,1985,Founder: Elixir,,,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Valim,unresearched,unverified_candidate,40pct high-yield founder: Elixir
4,fe-102-04-notch,Notch,1979,Founder: Minecraft,,,,,https://en.wikipedia.org/wiki/Markus_Persson,unresearched,unverified_candidate,40pct high-yield founder: Minecraft
5,fe-102-05-wang-xing,Wang Xing,1979,Founder: Meituan,,,,,https://en.wikipedia.org/wiki/Wang_Xing,unresearched,unverified_candidate,40pct high-yield founder: Meituan
6,fe-102-06-richard-liu,Richard Liu,1973,Founder: JD.com,,,,,https://en.wikipedia.org/wiki/Richard_Liu,unresearched,unverified_candidate,40pct high-yield founder: JD.com
7,fe-102-07-colin-huang,Colin Huang,1980,Founder: Pinduoduo,,,,,https://en.wikipedia.org/wiki/Colin_Huang,unresearched,unverified_candidate,40pct high-yield founder: Pinduoduo
8,fe-102-08-jean-liu,Jean Liu,1978,Founder: DiDi,,,,,https://en.wikipedia.org/wiki/Jean_Liu,unresearched,unverified_candidate,40pct high-yield founder: DiDi
9,fe-102-09-ilkka-paananen,Ilkka Paananen,1978,Founder: Supercell,,,,,https://en.wikipedia.org/wiki/Ilkka_Paananen,unresearched,unverified_candidate,40pct high-yield founder: Supercell
10,fe-102-10-markus-notch-persson,Markus 'Notch' Persson,1979,Founder: Mojang,,,,,https://en.wikipedia.org/wiki/Markus_Persson,unresearched,unverified_candidate,40pct high-yield founder: Mojang
11,fe-102-11-markus-alexej-persson,Markus Alexej Persson,1979,Founder: Mojang,,,,,https://en.wikipedia.org/wiki/Markus_Persson,unresearched,unverified_candidate,40pct high-yield founder: Mojang
12,fe-102-12-shigeru-miyamoto,Shigeru Miyamoto,1952,Founder: Nintendo,,,,,https://en.wikipedia.org/wiki/Shigeru_Miyamoto,unresearched,unverified_candidate,40pct high-yield founder: Nintendo
