candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-091-01-jack-dorsey,Jack Dorsey,1976,Twitter/Square founder,,,,,https://en.wikipedia.org/wiki/Jack_Dorsey,unresearched,unverified_candidate,High-yield curated: Twitter/Square founder
2,fe-091-02-david-filo,David Filo,1966,Yahoo co-founder,,,,,https://en.wikipedia.org/wiki/David_Filo,unresearched,unverified_candidate,High-yield curated: Yahoo co-founder
3,fe-091-03-tobias-lütke,Tobias Lütke,1981,Shopify founder,,,,,https://en.wikipedia.org/wiki/Tobias_L%C3%BCtke,unresearched,unverified_candidate,High-yield curated: Shopify founder
4,fe-091-04-scott-farquhar,Scott Farquhar,1979,Atlassian co-founder,,,,,https://en.wikipedia.org/wiki/Scott_Farquhar,unresearched,unverified_candidate,High-yield curated: Atlassian co-founder
5,fe-091-05-mike-cannon-brookes,Mike Cannon-Brookes,1979,Atlassian co-founder,,,,,https://en.wikipedia.org/wiki/Mike_Cannon-Brookes,unresearched,unverified_candidate,High-yield curated: Atlassian co-founder
6,fe-091-06-elizabeth-holmes,Elizabeth Holmes,1984,Theranos founder,,,,,https://en.wikipedia.org/wiki/Elizabeth_Holmes,unresearched,unverified_candidate,High-yield curated: Theranos founder
7,fe-091-07-andrej-karpathy,Andrej Karpathy,1986,AI researcher,,,,,https://en.wikipedia.org/wiki/Andrej_Karpathy,unresearched,unverified_candidate,High-yield curated: AI researcher
8,fe-091-08-pieter-levels,Pieter Levels,1985,indie maker,,,,,https://en.wikipedia.org/wiki/Pieter_Levels,unresearched,unverified_candidate,High-yield curated: indie maker
9,fe-091-09-ryan-hoover,Ryan Hoover,1986,Product Hunt,,,,,https://en.wikipedia.org/wiki/Ryan_Hoover,unresearched,unverified_candidate,High-yield curated: Product Hunt
10,fe-091-10-des-traynor,Des Traynor,1986,Intercom,,,,,https://en.wikipedia.org/wiki/Des_Traynor,unresearched,unverified_candidate,High-yield curated: Intercom
11,fe-091-11-eoghan-mccabe,Eoghan McCabe,1980,Intercom,,,,,https://en.wikipedia.org/wiki/Eoghan_McCabe,unresearched,unverified_candidate,High-yield curated: Intercom
12,fe-091-12-mathilde-collin,Mathilde Collin,1989,Front founder,,,,,https://en.wikipedia.org/wiki/Mathilde_Collin,unresearched,unverified_candidate,High-yield curated: Front founder
