candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-w3-223-01-david-pogue,David Pogue,1963,Founder/eng: NYT tech,,,,,https://en.wikipedia.org/wiki/David_Pogue,unresearched,unverified_candidate,Wave3 addition: NYT tech
2,fe-w3-223-02-farhad-manjoo,Farhad Manjoo,1978,Founder/eng: tech writer,,,,,https://en.wikipedia.org/wiki/Farhad_Manjoo,unresearched,unverified_candidate,Wave3 addition: tech writer
3,fe-w3-223-03-nilay-patel,Nilay Patel,1981,Founder/eng: Verge,,,,,https://en.wikipedia.org/wiki/Nilay_Patel,unresearched,unverified_candidate,Wave3 addition: Verge
4,fe-w3-223-04-dieter-bohn,Dieter Bohn,1978,Founder/eng: Verge,,,,,https://en.wikipedia.org/wiki/Dieter_Bohn,unresearched,unverified_candidate,Wave3 addition: Verge
5,fe-w3-223-05-joshua-topolsky,Joshua Topolsky,1977,Founder/eng: Verge,,,,,https://en.wikipedia.org/wiki/Joshua_Topolsky,unresearched,unverified_candidate,Wave3 addition: Verge
6,fe-w3-223-06-paul-miller,Paul Miller,1982,Founder/eng: Verge,,,,,https://en.wikipedia.org/wiki/Paul_Miller_(journalist),unresearched,unverified_candidate,Wave3 addition: Verge
7,fe-w3-223-07-thomas-ricker,Thomas Ricker,1975,Founder/eng: Engadget,,,,,https://en.wikipedia.org/wiki/Thomas_Ricker,unresearched,unverified_candidate,Wave3 addition: Engadget
8,fe-w3-223-08-ryan-block,Ryan Block,1982,Founder/eng: Engadget,,,,,https://en.wikipedia.org/wiki/Ryan_Block,unresearched,unverified_candidate,Wave3 addition: Engadget
9,fe-w3-223-09-peter-rojas,Peter Rojas,1975,Founder/eng: Gizmodo Engadget,,,,,https://en.wikipedia.org/wiki/Peter_Rojas,unresearched,unverified_candidate,Wave3 addition: Gizmodo Engadget
10,fe-w3-223-10-nick-denton,Nick Denton,1966,Founder/eng: Gawker,,,,,https://en.wikipedia.org/wiki/Nick_Denton,unresearched,unverified_candidate,Wave3 addition: Gawker
11,fe-w3-223-11-choire-sicha,Choire Sicha,1971,Founder/eng: The Awl,,,,,https://en.wikipedia.org/wiki/Choire_Sicha,unresearched,unverified_candidate,Wave3 addition: The Awl
12,fe-w3-223-12-elizabeth-spiers,Elizabeth Spiers,1976,Founder/eng: Gawker,,,,,https://en.wikipedia.org/wiki/Elizabeth_Spiers,unresearched,unverified_candidate,Wave3 addition: Gawker
