candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-081-01-luke-farritor,Luke Farritor,,American software engineers,,,,,https://en.wikipedia.org/wiki/Luke_Farritor,unresearched,unverified_candidate,Wikipedia category: American software engineers
2,fe-081-02-myra-b.-cohen,Myra B. Cohen,,American software engineers,,,,,https://en.wikipedia.org/wiki/Myra_B._Cohen,unresearched,unverified_candidate,Wikipedia category: American software engineers
3,fe-081-03-christopher-olah,Christopher Olah,1990,Anthropic researcher,,,,,https://en.wikipedia.org/wiki/Christopher_Olah,unresearched,unverified_candidate,Curated: Anthropic researcher
4,fe-081-04-jean-sammet,Jean Sammet,1928,COBOL contributor,,,,,https://en.wikipedia.org/wiki/Jean_Sammet,unresearched,unverified_candidate,Curated: COBOL contributor
5,fe-081-05-thomas-e.-anderson,Thomas E. Anderson,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Thomas_E._Anderson,unresearched,unverified_candidate,Wikipedia category: American computer scientists
6,fe-081-06-conal-elliott,Conal Elliott,,FRP creator,,,,,https://en.wikipedia.org/wiki/Conal_Elliott,unresearched,unverified_candidate,Curated: FRP creator
7,fe-081-07-alan-kay,Alan Kay,1940,OOP pioneer,,,,,https://en.wikipedia.org/wiki/Alan_Kay,unresearched,unverified_candidate,Curated: OOP pioneer
8,fe-081-08-trip-adler,Trip Adler,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Trip_Adler,unresearched,unverified_candidate,Wikipedia category: American technology company founders
9,fe-081-09-karen-casella,Karen Casella,,American software engineers,,,,,https://en.wikipedia.org/wiki/Karen_Casella,unresearched,unverified_candidate,Wikipedia category: American software engineers
10,fe-081-10-michael-brooks,Michael Brooks,,PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Michael_Brooks,unresearched,unverified_candidate,Curated: PhoneGap engineer
11,fe-081-11-jim-highsmith,Jim Highsmith,,American software engineers,,,,,https://en.wikipedia.org/wiki/Jim_Highsmith,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-081-12-brittney-exline,Brittney Exline,,American software engineers,,,,,https://en.wikipedia.org/wiki/Brittney_Exline,unresearched,unverified_candidate,Wikipedia category: American software engineers
