candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-007-01-tim-sweeney,Tim Sweeney,1970,Epic Games founder,,,,,https://en.wikipedia.org/wiki/Tim_Sweeney,unresearched,unverified_candidate,Curated: Epic Games founder
2,fe-007-02-andrew-appel,Andrew Appel,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Andrew_Appel,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-007-03-rudd-canaday,Rudd Canaday,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rudd_Canaday,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-007-04-fedor-pikus,Fedor Pikus,,C++ engineer,,,,,https://en.wikipedia.org/wiki/Fedor_Pikus,unresearched,unverified_candidate,Curated: C++ engineer
5,fe-007-05-ingo-molnar,Ingo Molnar,1973,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Ingo_Molnar,unresearched,unverified_candidate,Curated: Linux kernel maintainer
6,fe-007-06-michael-stoyke,Michael Stoyke,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Michael_Stoyke,unresearched,unverified_candidate,Curated: Minecraft developer
7,fe-007-07-nicolas-de-loof,Nicolas De Loof,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Nicolas_De_Loof,unresearched,unverified_candidate,Curated: Docker engineer
8,fe-007-08-tracy-chou,Tracy Chou,1988,Pinterest engineer,,,,,https://en.wikipedia.org/wiki/Tracy_Chou,unresearched,unverified_candidate,Curated: Pinterest engineer
9,fe-007-09-randal-burns,Randal Burns,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Randal_Burns,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-007-10-david-r.-brown-(engineer),David R. Brown (engineer),,American computer scientists,,,,,https://en.wikipedia.org/wiki/David_R._Brown_(engineer),unresearched,unverified_candidate,Wikipedia category: American computer scientists
11,fe-007-11-yehuda-katz,Yehuda Katz,1983,Ember/Rails contributor,,,,,https://en.wikipedia.org/wiki/Yehuda_Katz,unresearched,unverified_candidate,Curated: Ember/Rails contributor
12,fe-007-12-steve-schoettler,Steve Schoettler,,Zynga founder,,,,,https://en.wikipedia.org/wiki/Steve_Schoettler,unresearched,unverified_candidate,Curated: Zynga founder
