candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-021-01-jesse-macfadyen,Jesse MacFadyen,,PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Jesse_MacFadyen,unresearched,unverified_candidate,Curated: PhoneGap engineer
2,fe-021-02-frances-allen,Frances Allen,1932,compiler pioneer,,,,,https://en.wikipedia.org/wiki/Frances_Allen,unresearched,unverified_candidate,Curated: compiler pioneer
3,fe-021-03-amanda-askell,Amanda Askell,1988,Anthropic researcher,,,,,https://en.wikipedia.org/wiki/Amanda_Askell,unresearched,unverified_candidate,Curated: Anthropic researcher
4,fe-021-04-dan-benjamin,Dan Benjamin,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Dan_Benjamin,unresearched,unverified_candidate,Wikipedia category: American technology company founders
5,fe-021-05-robert-cailliau,Robert Cailliau,1947,WWW contributor,,,,,https://en.wikipedia.org/wiki/Robert_Cailliau,unresearched,unverified_candidate,Curated: WWW contributor
6,fe-021-06-evelyn-miralles,Evelyn Miralles,,American software engineers,,,,,https://en.wikipedia.org/wiki/Evelyn_Miralles,unresearched,unverified_candidate,Wikipedia category: American software engineers
7,fe-021-07-tianon-gravi,Tianon Gravi,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Tianon_Gravi,unresearched,unverified_candidate,Curated: Docker engineer
8,fe-021-08-lea-verou,Lea Verou,1991,web standards advocate,,,,,https://en.wikipedia.org/wiki/Lea_Verou,unresearched,unverified_candidate,Curated: web standards advocate
9,fe-021-09-john-boyer-(software-engineer),John Boyer (software engineer),,American software engineers,,,,,https://en.wikipedia.org/wiki/John_Boyer_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American software engineers
10,fe-021-10-cal-henderson,Cal Henderson,1977,Slack founder,,,,,https://en.wikipedia.org/wiki/Cal_Henderson,unresearched,unverified_candidate,Curated: Slack founder
11,fe-021-11-dale-heatherington,Dale Heatherington,,American software engineers,,,,,https://en.wikipedia.org/wiki/Dale_Heatherington,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-021-12-thomas-anantharaman,Thomas Anantharaman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Thomas_Anantharaman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
