candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-054-01-john-resig,John Resig,1984,jQuery creator,,,,,https://en.wikipedia.org/wiki/John_Resig,unresearched,unverified_candidate,Curated: jQuery creator
2,fe-054-02-paul-sciarra,Paul Sciarra,1982,Pinterest founder,,,,,https://en.wikipedia.org/wiki/Paul_Sciarra,unresearched,unverified_candidate,Curated: Pinterest founder
3,fe-054-03-tom-demarco,Tom DeMarco,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tom_DeMarco,unresearched,unverified_candidate,Wikipedia category: American software engineers
4,fe-054-04-bruce-artwick,Bruce Artwick,,American software engineers,,,,,https://en.wikipedia.org/wiki/Bruce_Artwick,unresearched,unverified_candidate,Wikipedia category: American software engineers
5,fe-054-05-ginni-rometty,Ginni Rometty,1957,IBM CEO,,,,,https://en.wikipedia.org/wiki/Ginni_Rometty,unresearched,unverified_candidate,Curated: IBM CEO
6,fe-054-06-vincent-aleven,Vincent Aleven,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Vincent_Aleven,unresearched,unverified_candidate,Wikipedia category: American computer scientists
7,fe-054-07-edward-yang,Edward Yang,,PyTorch contributor,,,,,https://en.wikipedia.org/wiki/Edward_Yang,unresearched,unverified_candidate,Curated: PyTorch contributor
8,fe-054-08-hal-finney,Hal Finney,1956,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Hal_Finney,unresearched,unverified_candidate,Curated: Bitcoin contributor
9,fe-054-09-lennart-augustsson,Lennart Augustsson,,Haskell researcher,,,,,https://en.wikipedia.org/wiki/Lennart_Augustsson,unresearched,unverified_candidate,Curated: Haskell researcher
10,fe-054-10-adrian-cockcroft,Adrian Cockcroft,1957,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Adrian_Cockcroft,unresearched,unverified_candidate,Curated: Netflix engineer
11,fe-054-11-boris-schaling,Boris Schaling,,C++ author,,,,,https://en.wikipedia.org/wiki/Boris_Schaling,unresearched,unverified_candidate,Curated: C++ author
12,fe-054-12-matthew-wilson,Matthew Wilson,,C++ author,,,,,https://en.wikipedia.org/wiki/Matthew_Wilson,unresearched,unverified_candidate,Curated: C++ author
