candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-071-01-paul-r.-berger,Paul R. Berger,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Paul_R._Berger,unresearched,unverified_candidate,Wikipedia category: American computer scientists
2,fe-071-02-craig-federighi,Craig Federighi,,American software engineers,,,,,https://en.wikipedia.org/wiki/Craig_Federighi,unresearched,unverified_candidate,Wikipedia category: American software engineers
3,fe-071-03-david-baszucki,David Baszucki,,American software engineers,,,,,https://en.wikipedia.org/wiki/David_Baszucki,unresearched,unverified_candidate,Wikipedia category: American software engineers
4,fe-071-04-james-w.-hunt,James W. Hunt,,American software engineers,,,,,https://en.wikipedia.org/wiki/James_W._Hunt,unresearched,unverified_candidate,Wikipedia category: American software engineers
5,fe-071-05-mg-siegler,MG Siegler,,tech writer/VC,,,,,https://en.wikipedia.org/wiki/MG_Siegler,unresearched,unverified_candidate,Curated: tech writer/VC
6,fe-071-06-josh-evans,Josh Evans,,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Josh_Evans,unresearched,unverified_candidate,Curated: Netflix engineer
7,fe-071-07-pamela-fox,Pamela Fox,1986,tech engineer,,,,,https://en.wikipedia.org/wiki/Pamela_Fox,unresearched,unverified_candidate,Curated: tech engineer
8,fe-071-08-paul-graham-(programmer),Paul Graham (programmer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Paul_Graham_(programmer),unresearched,unverified_candidate,Wikipedia category: American software engineers
9,fe-071-09-timothée-lacroix,Timothée Lacroix,,Mistral AI founder,,,,,https://en.wikipedia.org/wiki/Timothée_Lacroix,unresearched,unverified_candidate,Curated: Mistral AI founder
10,fe-071-10-tim-clem,Tim Clem,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Tim_Clem,unresearched,unverified_candidate,Curated: GitHub engineer
11,fe-071-11-katie-ganski,Katie Ganski,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Katie_Ganski,unresearched,unverified_candidate,Curated: Valve engineer
12,fe-071-12-lisa-anthony,Lisa Anthony,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Lisa_Anthony,unresearched,unverified_candidate,Wikipedia category: American computer scientists
