candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-014-01-margaret-hamilton,Margaret Hamilton,1936,Apollo software,,,,,https://en.wikipedia.org/wiki/Margaret_Hamilton,unresearched,unverified_candidate,Curated: Apollo software
2,fe-014-02-michael-j.-carey-(computer-scientist),Michael J. Carey (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Michael_J._Carey_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-014-03-sam-soffes,Sam Soffes,,tech engineer,,,,,https://en.wikipedia.org/wiki/Sam_Soffes,unresearched,unverified_candidate,Curated: tech engineer
4,fe-014-04-victor-bahl,Victor Bahl,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Victor_Bahl,unresearched,unverified_candidate,Wikipedia category: American computer scientists
5,fe-014-05-15-(software-engineer),15 (software engineer),,American computer scientists,,,,,https://en.wikipedia.org/wiki/15_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American computer scientists
6,fe-014-06-eric-bina,Eric Bina,1964,Netscape founder,,,,,https://en.wikipedia.org/wiki/Eric_Bina,unresearched,unverified_candidate,Curated: Netscape founder
7,fe-014-07-kimberly-bryant-(technologist),Kimberly Bryant (technologist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Kimberly_Bryant_(technologist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
8,fe-014-08-zach-holman,Zach Holman,1987,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Zach_Holman,unresearched,unverified_candidate,Curated: GitHub engineer
9,fe-014-09-clifford-berry,Clifford Berry,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Clifford_Berry,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-014-10-cecilia-r.-aragon,Cecilia R. Aragon,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Cecilia_R._Aragon,unresearched,unverified_candidate,Wikipedia category: American computer scientists
11,fe-014-11-james-hensman,James Hensman,,ML researcher,,,,,https://en.wikipedia.org/wiki/James_Hensman,unresearched,unverified_candidate,Curated: ML researcher
12,fe-014-12-lu-qi-(computer-scientist),Lu Qi (computer scientist),,American software engineers,,,,,https://en.wikipedia.org/wiki/Lu_Qi_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American software engineers
