candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-055-01-jared-kaplan,Jared Kaplan,,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Jared_Kaplan,unresearched,unverified_candidate,Curated: Anthropic founder
2,fe-055-02-gen-fukunaga,Gen Fukunaga,,American software engineers,,,,,https://en.wikipedia.org/wiki/Gen_Fukunaga,unresearched,unverified_candidate,Wikipedia category: American software engineers
3,fe-055-03-robert-c-martin,Robert C Martin,1952,Clean Code author,,,,,https://en.wikipedia.org/wiki/Robert_C_Martin,unresearched,unverified_candidate,Curated: Clean Code author
4,fe-055-04-bret-taylor,Bret Taylor,1980,Facebook CTO,,,,,https://en.wikipedia.org/wiki/Bret_Taylor,unresearched,unverified_candidate,Curated: Facebook CTO
5,fe-055-05-mike-belshe,Mike Belshe,1972,HTTP/2 author,,,,,https://en.wikipedia.org/wiki/Mike_Belshe,unresearched,unverified_candidate,Curated: HTTP/2 author
6,fe-055-06-gokul-rajaram,Gokul Rajaram,,Facebook director,,,,,https://en.wikipedia.org/wiki/Gokul_Rajaram,unresearched,unverified_candidate,Curated: Facebook director
7,fe-055-07-cristiano-betta,Cristiano Betta,,tech engineer,,,,,https://en.wikipedia.org/wiki/Cristiano_Betta,unresearched,unverified_candidate,Curated: tech engineer
8,fe-055-08-paul-mckenney,Paul McKenney,1948,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Paul_McKenney,unresearched,unverified_candidate,Curated: Linux kernel maintainer
9,fe-055-09-peter-fitzhugh-brown,Peter Fitzhugh Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Peter_Fitzhugh_Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
10,fe-055-10-pedro-franceschi,Pedro Franceschi,1996,YC founder,,,,,https://en.wikipedia.org/wiki/Pedro_Franceschi,unresearched,unverified_candidate,Curated: YC founder
11,fe-055-11-peter-j.-denning,Peter J. Denning,,American software engineers,,,,,https://en.wikipedia.org/wiki/Peter_J._Denning,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-055-12-daniel-abadi,Daniel Abadi,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Daniel_Abadi,unresearched,unverified_candidate,Wikipedia category: American computer scientists
