candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-045-01-evelyn-berezin,Evelyn Berezin,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Evelyn_Berezin,unresearched,unverified_candidate,Wikipedia category: American computer scientists
2,fe-045-02-jeff-atwood,Jeff Atwood,1970,Discourse/Stack Overflow founder,,,,,https://en.wikipedia.org/wiki/Jeff_Atwood,unresearched,unverified_candidate,Curated: Discourse/Stack Overflow founder
3,fe-045-03-misty-blowers,Misty Blowers,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Misty_Blowers,unresearched,unverified_candidate,Wikipedia category: American computer scientists
4,fe-045-04-craig-mcluckie,Craig McLuckie,,Kubernetes creator,,,,,https://en.wikipedia.org/wiki/Craig_McLuckie,unresearched,unverified_candidate,Curated: Kubernetes creator
5,fe-045-05-arnd-bergmann,Arnd Bergmann,,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Arnd_Bergmann,unresearched,unverified_candidate,Curated: Linux kernel maintainer
6,fe-045-06-daniel-g.-bobrow,Daniel G. Bobrow,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Daniel_G._Bobrow,unresearched,unverified_candidate,Wikipedia category: American computer scientists
7,fe-045-07-brian-maggi,Brian Maggi,,tech founder,,,,,https://en.wikipedia.org/wiki/Brian_Maggi,unresearched,unverified_candidate,Curated: tech founder
8,fe-045-08-ronald-wayne,Ronald Wayne,1934,Apple founder,,,,,https://en.wikipedia.org/wiki/Ronald_Wayne,unresearched,unverified_candidate,Curated: Apple founder
9,fe-045-09-donald-knuth,Donald Knuth,1938,CS researcher,,,,,https://en.wikipedia.org/wiki/Donald_Knuth,unresearched,unverified_candidate,Curated: CS researcher
10,fe-045-10-ken-block-(politician),Ken Block (politician),,American software engineers,,,,,https://en.wikipedia.org/wiki/Ken_Block_(politician),unresearched,unverified_candidate,Wikipedia category: American software engineers
11,fe-045-11-bruce-arden,Bruce Arden,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Bruce_Arden,unresearched,unverified_candidate,Wikipedia category: American computer scientists
12,fe-045-12-aaron-sittig,Aaron Sittig,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Aaron_Sittig,unresearched,unverified_candidate,Curated: Facebook engineer
