candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-063-01-guillaume-lample,Guillaume Lample,1990,Mistral AI founder,,,,,https://en.wikipedia.org/wiki/Guillaume_Lample,unresearched,unverified_candidate,Curated: Mistral AI founder
2,fe-063-02-hans-peter-brondmo,Hans Peter Brondmo,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Hans_Peter_Brondmo,unresearched,unverified_candidate,Wikipedia category: American computer scientists
3,fe-063-03-jarvis-johnson-(internet-personality),Jarvis Johnson (internet personality),,American software engineers,,,,,https://en.wikipedia.org/wiki/Jarvis_Johnson_(internet_personality),unresearched,unverified_candidate,Wikipedia category: American software engineers
4,fe-063-04-bartosz-milewski,Bartosz Milewski,1958,category theory,,,,,https://en.wikipedia.org/wiki/Bartosz_Milewski,unresearched,unverified_candidate,Curated: category theory
5,fe-063-05-jakob-porsér,Jakob Porsér,,Mojang founder,,,,,https://en.wikipedia.org/wiki/Jakob_Porsér,unresearched,unverified_candidate,Curated: Mojang founder
6,fe-063-06-khalia-braswell,Khalia Braswell,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Khalia_Braswell,unresearched,unverified_candidate,Wikipedia category: American computer scientists
7,fe-063-07-stephen-r.-bourne,Stephen R. Bourne,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Stephen_R._Bourne,unresearched,unverified_candidate,Wikipedia category: American computer scientists
8,fe-063-08-clemens-delabrè,Clemens Delabrè,,Mistral AI founder,,,,,https://en.wikipedia.org/wiki/Clemens_Delabrè,unresearched,unverified_candidate,Curated: Mistral AI founder
9,fe-063-09-raj-gokal,Raj Gokal,,Solana founder,,,,,https://en.wikipedia.org/wiki/Raj_Gokal,unresearched,unverified_candidate,Curated: Solana founder
10,fe-063-10-sam-stephenson,Sam Stephenson,,Prototype.js creator,,,,,https://en.wikipedia.org/wiki/Sam_Stephenson,unresearched,unverified_candidate,Curated: Prototype.js creator
11,fe-063-11-geoff-ralston,Geoff Ralston,1965,YC partner,,,,,https://en.wikipedia.org/wiki/Geoff_Ralston,unresearched,unverified_candidate,Curated: YC partner
12,fe-063-12-pavel-byles,Pavel Byles,,tech engineer,,,,,https://en.wikipedia.org/wiki/Pavel_Byles,unresearched,unverified_candidate,Curated: tech engineer
