candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-050-01-dave-thomas,Dave Thomas,,Pragmatic Programmer,,,,,https://en.wikipedia.org/wiki/Dave_Thomas,unresearched,unverified_candidate,Curated: Pragmatic Programmer
2,fe-050-02-mike-engelhardt,Mike Engelhardt,,American software engineers,,,,,https://en.wikipedia.org/wiki/Mike_Engelhardt,unresearched,unverified_candidate,Wikipedia category: American software engineers
3,fe-050-03-alan-cooper-(software-designer),Alan Cooper (software designer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Alan_Cooper_(software_designer),unresearched,unverified_candidate,Wikipedia category: American software engineers
4,fe-050-04-mary-blue,Mary Blue,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Mary_Blue,unresearched,unverified_candidate,Wikipedia category: American computer scientists
5,fe-050-05-ray-ozzie,Ray Ozzie,1955,Microsoft CTO,,,,,https://en.wikipedia.org/wiki/Ray_Ozzie,unresearched,unverified_candidate,Curated: Microsoft CTO
6,fe-050-06-charles-best,Charles Best,1976,DonorsChoose founder,,,,,https://en.wikipedia.org/wiki/Charles_Best,unresearched,unverified_candidate,Curated: DonorsChoose founder
7,fe-050-07-sebastian-ruder,Sebastian Ruder,,AI researcher,,,,,https://en.wikipedia.org/wiki/Sebastian_Ruder,unresearched,unverified_candidate,Curated: AI researcher
8,fe-050-08-garry-tan,Garry Tan,1981,YC president,,,,,https://en.wikipedia.org/wiki/Garry_Tan,unresearched,unverified_candidate,Curated: YC president
9,fe-050-09-james-allchin,James Allchin,1951,Microsoft VP,,,,,https://en.wikipedia.org/wiki/James_Allchin,unresearched,unverified_candidate,Curated: Microsoft VP
10,fe-050-10-illia-polosukhin,Illia Polosukhin,1985,AI researcher,,,,,https://en.wikipedia.org/wiki/Illia_Polosukhin,unresearched,unverified_candidate,Curated: AI researcher
11,fe-050-11-ruth-misener,Ruth Misener,,American software engineers,,,,,https://en.wikipedia.org/wiki/Ruth_Misener,unresearched,unverified_candidate,Wikipedia category: American software engineers
12,fe-050-12-valeria-bertacco,Valeria Bertacco,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Valeria_Bertacco,unresearched,unverified_candidate,Wikipedia category: American computer scientists
