candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,fe-053-01-robert-l.-glass,Robert L. Glass,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_L._Glass,unresearched,unverified_candidate,Wikipedia category: American software engineers
2,fe-053-02-romain-dillet,Romain Dillet,,tech writer,,,,,https://en.wikipedia.org/wiki/Romain_Dillet,unresearched,unverified_candidate,Curated: tech writer
3,fe-053-03-arthur-schreiber,Arthur Schreiber,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Arthur_Schreiber,unresearched,unverified_candidate,Curated: GitHub engineer
4,fe-053-04-the-register-writer,The Register writer,,tech writer,,,,,https://en.wikipedia.org/wiki/The_Register_writer,unresearched,unverified_candidate,Curated: tech writer
5,fe-053-05-michael-baum-(entrepreneur),Michael Baum (entrepreneur),,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_Baum_(entrepreneur),unresearched,unverified_candidate,Wikipedia category: American software engineers
6,fe-053-06-brian-bershad,Brian Bershad,,Google engineer,,,,,https://en.wikipedia.org/wiki/Brian_Bershad,unresearched,unverified_candidate,Curated: Google engineer
7,fe-053-07-naomi-gleit,Naomi Gleit,,Facebook VP,,,,,https://en.wikipedia.org/wiki/Naomi_Gleit,unresearched,unverified_candidate,Curated: Facebook VP
8,fe-053-08-slava-akhmechet,Slava Akhmechet,,RethinkDB founder,,,,,https://en.wikipedia.org/wiki/Slava_Akhmechet,unresearched,unverified_candidate,Curated: RethinkDB founder
9,fe-053-09-joe-celko,Joe Celko,,American software engineers,,,,,https://en.wikipedia.org/wiki/Joe_Celko,unresearched,unverified_candidate,Wikipedia category: American software engineers
10,fe-053-10-chad-hurley,Chad Hurley,1977,YouTube founder,,,,,https://en.wikipedia.org/wiki/Chad_Hurley,unresearched,unverified_candidate,Curated: YouTube founder
11,fe-053-11-nicolai-josuttis,Nicolai Josuttis,1958,C++ author,,,,,https://en.wikipedia.org/wiki/Nicolai_Josuttis,unresearched,unverified_candidate,Curated: C++ author
12,fe-053-12-bob-belleville,Bob Belleville,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Bob_Belleville,unresearched,unverified_candidate,Wikipedia category: American computer scientists
