candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
1,candidate-0001-al-pacino,Al Pacino,1940,ACTOR,United States,M,122,89.27,https://en.wikipedia.org/?curid=41906,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2,candidate-0002-sylvester-stallone,Sylvester Stallone,1946,ACTOR,United States,M,107,89.20,https://en.wikipedia.org/?curid=61404,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
3,candidate-0003-ivana-trump,Ivana Trump,1949,BUSINESSPERSON,Czechia,F,56,85.70,https://en.wikipedia.org/?curid=1057887,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
4,candidate-0004-robert-de-niro,Robert De Niro,1943,ACTOR,United States,M,123,83.81,https://en.wikipedia.org/?curid=20913302,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
5,candidate-0005-hayao-miyazaki,Hayao Miyazaki,1941,FILM DIRECTOR,Japan,M,99,83.44,https://en.wikipedia.org/?curid=20312,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
6,candidate-0006-david-lynch,David Lynch,1946,FILM DIRECTOR,United States,M,85,82.53,https://en.wikipedia.org/?curid=7891,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
7,candidate-0007-anni-frid-lyngstad,Anni-Frid Lyngstad,1945,SINGER,Norway,F,63,82.46,https://en.wikipedia.org/?curid=180568,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
8,candidate-0008-danny-devito,Danny DeVito,1944,ACTOR,United States,M,82,82.24,https://en.wikipedia.org/?curid=104940,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
9,candidate-0009-paulo-coelho,Paulo Coelho,1947,WRITER,Brazil,M,97,81.81,https://en.wikipedia.org/?curid=65145,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
10,candidate-0010-amitabh-bachchan,Amitabh Bachchan,1942,ACTOR,India,M,113,81.47,https://en.wikipedia.org/?curid=1828,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
11,candidate-0011-jeff-bezos,Jeff Bezos,1964,BUSINESSPERSON,United States,M,96,81.13,https://en.wikipedia.org/?curid=142528,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
12,candidate-0012-jean-reno,Jean Reno,1948,ACTOR,Morocco,M,73,80.92,https://en.wikipedia.org/?curid=38253,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
13,candidate-0013-vince-mcmahon,Vince McMahon,1945,BUSINESSPERSON,United States,M,49,80.55,https://en.wikipedia.org/?curid=303951,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
14,candidate-0014-bruce-willis,Bruce Willis,1955,ACTOR,Germany,M,104,80.48,https://en.wikipedia.org/?curid=64673,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
15,candidate-0015-haruki-murakami,Haruki Murakami,1949,WRITER,Japan,M,95,80.40,https://en.wikipedia.org/?curid=229198,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
