candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
28,candidate-0028-michael-schumacher,Michael Schumacher,1969,RACING DRIVER,Germany,M,145,80.17,https://en.wikipedia.org/?curid=20396,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
234,candidate-0234-the-iron-sheik,The Iron Sheik,1942,WRESTLER,Iran,M,28,71.31,https://en.wikipedia.org/?curid=363161,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
130,candidate-0130-frank-williams,Frank Williams,1942,BUSINESSPERSON,United Kingdom,M,35,74.52,https://en.wikipedia.org/?curid=995100,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
92,candidate-0092-herta-müller,Herta Müller,1953,WRITER,Romania,F,107,76.59,https://en.wikipedia.org/?curid=6151067,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
257,candidate-0257-bassel-al-assad,Bassel al-Assad,1962,ENGINEER,Syria,M,32,70.71,https://en.wikipedia.org/?curid=2246162,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
287,candidate-0287-daniel-libeskind,Daniel Libeskind,1946,ARCHITECT,Poland,M,38,68.69,https://en.wikipedia.org/?curid=217434,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
2,candidate-0002-sylvester-stallone,Sylvester Stallone,1946,ACTOR,United States,M,107,89.20,https://en.wikipedia.org/?curid=61404,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
326,candidate-0326-ari-vatanen,Ari Vatanen,1952,RACING DRIVER,Finland,M,30,66.76,https://en.wikipedia.org/?curid=432801,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
81,candidate-0081-barry-white,Barry White,1944,SINGER,United States,M,51,76.76,https://en.wikipedia.org/?curid=56386,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
223,candidate-0223-jules-a-hoffmann,Jules A. Hoffmann,1941,BIOLOGIST,Luxembourg,M,54,71.62,https://en.wikipedia.org/?curid=14449397,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
341,candidate-0341-bert-sakmann,Bert Sakmann,1942,BIOLOGIST,Germany,M,47,66.19,https://en.wikipedia.org/?curid=619989,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
399,candidate-0399-ole-einar-bjørndalen,Ole Einar Bjørndalen,1974,ATHLETE,Norway,M,57,63.72,https://en.wikipedia.org/?curid=40377,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
