candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
90,candidate-0090-ben-affleck,Ben Affleck,1972,ACTOR,United States,M,93,76.63,https://en.wikipedia.org/?curid=159599,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
357,candidate-0357-elio-de-angelis,Elio de Angelis,1958,RACING DRIVER,Italy,M,31,65.38,https://en.wikipedia.org/?curid=1048978,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
319,candidate-0319-svetlana-gerasimenko,Svetlana Gerasimenko,1945,ASTRONOMER,Ukraine,F,36,67.19,https://en.wikipedia.org/?curid=44384039,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
171,candidate-0171-ludovico-einaudi,Ludovico Einaudi,1955,MUSICIAN,Italy,M,45,73.11,https://en.wikipedia.org/?curid=569555,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
101,candidate-0101-yoshinori-ohsumi,Yoshinori Ohsumi,1945,BIOLOGIST,Japan,M,69,76.17,https://en.wikipedia.org/?curid=37674837,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
160,candidate-0160-andrzej-sapkowski,Andrzej Sapkowski,1948,WRITER,Poland,M,54,73.44,https://en.wikipedia.org/?curid=2865,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
374,candidate-0374-robert-hübner,Robert Hübner,1948,CHESS PLAYER,Germany,M,33,64.69,https://en.wikipedia.org/?curid=1358965,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
294,candidate-0294-valentin-ceaușescu,Valentin Ceaușescu,1948,PHYSICIST,Romania,M,21,68.38,https://en.wikipedia.org/?curid=5030845,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
227,candidate-0227-amin-maalouf,Amin Maalouf,1949,WRITER,Lebanon,M,60,71.50,https://en.wikipedia.org/?curid=176782,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
189,candidate-0189-gregory-winter,Gregory Winter,1951,BIOLOGIST,United Kingdom,M,51,72.70,https://en.wikipedia.org/?curid=1843684,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
8,candidate-0008-janis-joplin,Janis Joplin,1943,SINGER,United States,F,85,83.91,https://en.wikipedia.org/?curid=16245,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
242,candidate-0242-xavi,Xavi,1980,SOCCER PLAYER,Spain,M,87,71.08,https://en.wikipedia.org/?curid=2108060,unresearched,unverified_candidate,Ranked for research discovery; HPI is not evidence of early success.
