name,handle_or_url,category,birth_year,platform,known_for,source_list
Tom Holland,https://en.wikipedia.org/wiki/Tom_Holland,Digital-native celebrity,1996,Instagram/Internet,Spider-Man; massive social media following,
Timothée Chalamet,https://en.wikipedia.org/wiki/Timoth%C3%A9e_Chalamet,Digital-native celebrity,1995,Instagram/Internet,Call Me By Your Name; social media heartthrob,
Anya Taylor-Joy,https://en.wikipedia.org/wiki/Anya_Taylor-Joy,Digital-native celebrity,1996,Netflix/Instagram,Queen's Gambit; social media viral moment,
Jacob Elordi,https://en.wikipedia.org/wiki/Jacob_Elordi,Digital-native celebrity,1997,Instagram/Internet,Euphoria; social media following,
Sydney Sweeney,https://en.wikipedia.org/wiki/Sydney_Sweeney,Digital-native celebrity,1997,HBO/Instagram,Euphoria; social media icon,
Skai Jackson,https://en.wikipedia.org/wiki/Skai_Jackson,Digital-native celebrity,2002,Disney/Instagram,Disney Channel; social media; author,
Peyton List,"https://en.wikipedia.org/wiki/Peyton_List_(actress,_born_1998)",Digital-native celebrity,1998,Disney/Instagram,Disney Channel; Jessie; social media following,
dev1ce,https://en.wikipedia.org/wiki/Dev1ce,Esports,1995,CS:GO/CS2,4x Major champion with Astralis; 2x Major MVP; 19x HLTV Top 20; one of greatest CS players ever,esports_pros
m0NESY,https://en.wikipedia.org/wiki/M0NESY,Esports,2005,CS2,HLTV 2022 Rookie of the Year; 4x HLTV Top 20 (#2 in 2024); 11x HLTV MVP; Major champion,esports_pros
donk,https://en.wikipedia.org/wiki/Donk_(esports),Esports,2007,CS2,Youngest-ever HLTV Player of the Year at 17; CS2 Major winner Shanghai 2024; HLTV Major MVP,esports_pros
Yatoro,https://liquipedia.net/dota2/Yatoro,Esports,2003,Dota 2,"2x The International champion (TI10 2021, TI12 2023); legendary carry player for Team Spirit",esports_pros
aspas,https://liquipedia.net/valorant/Aspas,Esports,2003,Valorant,VCT Champions 2022 winner with LOUD; Champions 2022 MVP; considered best duelist in Valorant,esports_pros
