name,handle_or_url,category,birth_year,platform,known_for,source_list
N0tail,https://en.wikipedia.org/wiki/N0tail,Esports pro,1993,Dota 2,OG co-founder; two-time TI winner; Dota 2 legend,
Ceb,https://en.wikipedia.org/wiki/Ceb,Esports pro,1992,Dota 2,OG off-laner; two-time TI winner; motivational figure,
KuroKy,https://en.wikipedia.org/wiki/KuroKy,Esports pro,1992,Dota 2,German Dota 2 legend; TI winner with Team Liquid,
Puppey,https://en.wikipedia.org/wiki/Puppey,Esports pro,1990,Dota 2,Estonian Dota 2 captain; TI winner; Team Secret founder,
Dendi,https://en.wikipedia.org/wiki/Dendi,Esports pro,1989,Dota 2,Ukrainian Dota 2 icon; TI1 winner; Na'Vi legend,
Miracle-,https://en.wikipedia.org/wiki/Miracle-_(gamer),Esports pro,1997,Dota 2,Jordanian Dota 2 prodigy; TI winner; first 9K MMR player,
SumaiL,https://en.wikipedia.org/wiki/SumaiL,Esports pro,1999,Dota 2,Pakistani-American Dota 2 prodigy; TI winner at 16,
Arteezy,https://en.wikipedia.org/wiki/Arteezy,Esports pro,1996,Dota 2,Canadian Dota 2 star; EG; massive following,
Jaedong,https://en.wikipedia.org/wiki/Jaedong,Esports pro,1990,StarCraft,Korean Brood War legend; multiple OSL/MSL wins,
Flash,https://en.wikipedia.org/wiki/Flash_(StarCraft_player),Esports pro,1992,StarCraft,Greatest Brood War player; Bonjwa; turned pro at 15,
SonicFox,https://en.wikipedia.org/wiki/SonicFox,Esports pro,1997,Fighting games,Dominant FGC player; EVO champion across multiple games,
Hungrybox,https://en.wikipedia.org/wiki/Hungrybox,Esports pro,1993,Super Smash Bros,Melee Jigglypuff legend; multiple EVO wins,
