name,handle_or_url,category,birth_year,platform,known_for,source_list
Shane Dawson,https://en.wikipedia.org/wiki/Shane_Dawson,Content creator,1988,YouTube,Early YouTube pioneer; documentary-style content,
Jenna Marbles,https://en.wikipedia.org/wiki/Jenna_Marbles,Content creator,1986,YouTube,Most-subscribed female YouTuber; early platform pioneer,
Colleen Ballinger,https://en.wikipedia.org/wiki/Colleen_Ballinger,Content creator,1986,YouTube,Created Miranda Sings; Netflix series,
Tyler Oakley,https://en.wikipedia.org/wiki/Tyler_Oakley,Content creator,1989,YouTube,Early YouTube LGBTQ advocate; mainstream crossover,
Connor Franta,https://en.wikipedia.org/wiki/Connor_Franta,Content creator,1992,YouTube,O2L member; bestselling author; coffee brand,
Kian Lawley,https://en.wikipedia.org/wiki/Kian_Lawley,Content creator,1995,YouTube,O2L member; actor in The Chosen,
JC Caylen,https://en.wikipedia.org/wiki/JC_Caylen,Content creator,1992,YouTube,O2L member; YouTube vlog pioneer,
Trevor Moran,https://en.wikipedia.org/wiki/Trevor_Moran,Content creator,1993,YouTube,O2L member; music career,
Gigi Gorgeous,https://en.wikipedia.org/wiki/Gigi_Gorgeous,Content creator,1992,YouTube,Transgender YouTube pioneer; documentary subject,
Eva Gutowski,https://en.wikipedia.org/wiki/Eva_Gutowski,Content creator,1994,YouTube,Lifestyle vlogger; MyLifeAsEva; author,
Safiya Nygaard,https://en.wikipedia.org/wiki/Safiya_Nygaard,Content creator,1992,YouTube,BuzzFeed video star; solo YouTube channel,
Simone Giertz,https://en.wikipedia.org/wiki/Simone_Giertz,Content creator,1991,YouTube,Shitty Robot queen; inventor; TED speaker,
