name,handle_or_url,category,birth_year,platform,known_for,source_list
Baby Ariel,https://en.wikipedia.org/wiki/Baby_Ariel,TikTok creator,2000,TikTok,Musical.ly pioneer; anti-bullying campaign; acting,
Kristen Hancher,https://en.wikipedia.org/wiki/Kristen_Hancher,TikTok creator,1999,TikTok/Instagram,Early Musical.ly/TikTok star; beauty content,
Daisy Keech,https://en.wikipedia.org/wiki/Daisy_Keech,TikTok creator/Instagram influencer,1996,Instagram/TikTok,Fitness model; Hype House co-founder,
Cash Baker,https://en.wikipedia.org/wiki/Cash_Baker,TikTok creator,2003,TikTok,TikTok lip-sync and music; Baker brothers,
Maverick Baker,https://en.wikipedia.org/wiki/Maverick_Baker,TikTok creator,2003,TikTok,TikTok music and lip-sync; Baker brothers,
Jayden Bartels,https://en.wikipedia.org/wiki/Jayden_Bartels,TikTok creator,2004,TikTok/YouTube,TikTok dancer; actress; music,
Hayden Summerall,https://en.wikipedia.org/wiki/Hayden_Summerall,Content creator,2005,YouTube/Instagram,Singer and actor; Chicken Girls; social media,
Woah Vicky,https://en.wikipedia.org/wiki/Woah_Vicky,TikTok creator,2000,Instagram/TikTok,Viral internet personality; controversial social media presence,
Danielle Cohn,https://en.wikipedia.org/wiki/Danielle_Cohn,Content creator,2004,YouTube/TikTok,Musical.ly and TikTok star; music; controversy over age,
James Charles,https://en.wikipedia.org/wiki/James_Charles,Beauty YouTuber,1999,YouTube,First male CoverGirl ambassador; makeup tutorials; massive following,
Nikita Dragun,https://en.wikipedia.org/wiki/Nikita_Dragun,Beauty YouTuber,1996,YouTube,Trans beauty influencer; Dragun Beauty brand,
Bretman Rock,https://en.wikipedia.org/wiki/Bretman_Rock,Beauty YouTuber,1998,YouTube/Instagram,Filipino-American beauty influencer; MTV reality show,
