name,handle_or_url,category,birth_year,platform,known_for,source_list
Patrick Starrr,https://en.wikipedia.org/wiki/Patrick_Starrr,Beauty YouTuber,1990,YouTube,Filipino-American beauty influencer; MAC collaboration,
Manny MUA,https://en.wikipedia.org/wiki/Manny_MUA,Beauty YouTuber,1994,YouTube,Male beauty influencer; Maybelline first male ambassador,
Jeffree Star,https://en.wikipedia.org/wiki/Jeffree_Star,Beauty YouTuber,1985,YouTube/MySpace,MySpace musician turned beauty mogul; Jeffree Star Cosmetics,
Simply Nailogical,https://en.wikipedia.org/wiki/Simply_Nailogical,Beauty YouTuber,1988,YouTube,Nail art; holo obsession; Canadian YouTuber,
Liza Koshy,https://en.wikipedia.org/wiki/Liza_Koshy,Content creator,1996,YouTube/Vine,Vine and YouTube star; actress; host,
Logan Paul,https://en.wikipedia.org/wiki/Logan_Paul,Content creator,1995,YouTube/Vine,Vine star; YouTube boxer; Impaulsive podcast,
Jake Paul,https://en.wikipedia.org/wiki/Jake_Paul,Content creator,1997,YouTube/Vine,Disney Channel; Team 10; boxing career,
RiceGum,https://en.wikipedia.org/wiki/RiceGum,Content creator,1996,YouTube,Diss-track YouTuber; early YouTube drama content,
Alissa Violet,https://en.wikipedia.org/wiki/Alissa_Violet,Content creator,1996,YouTube/Vine,Vine and YouTube; Team 10; CloutGang,
Tana Mongeau,https://en.wikipedia.org/wiki/Tana_Mongeau,Content creator,1998,YouTube,Storytime YouTuber; TanaCon; reality show,
Gabbie Hanna,https://en.wikipedia.org/wiki/Gabbie_Hanna,Content creator,1991,YouTube/Vine,Vine and YouTube creator; music and poetry,
Trisha Paytas,https://en.wikipedia.org/wiki/Trisha_Paytas,Content creator,1988,YouTube,Long-running YouTube personality; music; Frenemies podcast,
