name,handle_or_url,category,birth_year,platform,known_for,source_list
Bailey Sarian,https://en.wikipedia.org/wiki/Bailey_Sarian,Content creator,1986,YouTube,Murder Mystery & Makeup; true crime + beauty hybrid,
Vsauce,https://en.wikipedia.org/wiki/Michael_Stevens_(educator),Content creator,1986,YouTube,Vsauce educational channel; YouTube pioneer,
Amanda Steele,https://en.wikipedia.org/wiki/Amanda_Steele,Content creator,1998,YouTube/Instagram,Beauty and fashion; early YouTube; model,
Claudia Sulewski,https://en.wikipedia.org/wiki/Claudia_Sulewski,Content creator,1996,YouTube,Fashion and lifestyle; actress; YouTube pioneer,
Sara Dietschy,https://en.wikipedia.org/wiki/Sara_Dietschy,Content creator,1994,YouTube,Tech and lifestyle; YouTube creator,
Brandon Calvillo,https://en.wikipedia.org/wiki/Brandon_Calvillo,Content creator,1994,Vine/YouTube,Vine star; filmmaker; YouTube,
Brent Rivera,https://en.wikipedia.org/wiki/Brent_Rivera,Content creator,1998,YouTube/TikTok,Vine and YouTube creator; Amp Studios founder,
Larray,https://en.wikipedia.org/wiki/Larray,Content creator,1998,YouTube/TikTok,Comedic TikTok and YouTube content; music parodies,
Destin Conrad,https://en.wikipedia.org/wiki/Destin_Conrad,Content creator,1996,YouTube/TikTok,Lifestyle and comedy; YouTube; music,
Inanna Sarkis,https://en.wikipedia.org/wiki/Inanna_Sarkis,Content creator,1993,YouTube/Instagram,YouTube comedy; model; actress,
Meg Turney,https://en.wikipedia.org/wiki/Meg_Turney,Content creator,1987,YouTube,Cosplay; SourceFed; gaming content,
Jazz Jennings,https://en.wikipedia.org/wiki/Jazz_Jennings,Content creator,2000,TV/YouTube,Transgender activist; I Am Jazz TLC show; YouTube,
