name,handle_or_url,category,birth_year,platform,known_for,source_list
Demon1,https://liquipedia.net/valorant/Demon1,Esports,2002,Valorant,VCT Champions 2023 winner with Evil Geniuses; top fragger at Champions,esports_pros
Jojopyun,https://liquipedia.net/leagueoflegends/Jojopyun,Esports,2002,League of Legends,Youngest player in LCS history at debut; LCS champion with Evil Geniuses 2022,esports_pros
Danny,https://liquipedia.net/leagueoflegends/Danny,Esports,2003,League of Legends,LCS champion with Evil Geniuses; one of youngest pro LoL players in NA,esports_pros
Humanoid,https://liquipedia.net/leagueoflegends/Humanoid,Esports,2000,League of Legends,LEC champion; Worlds semifinalist with MAD Lions; top mid-laner in EU,esports_pros
yay,https://liquipedia.net/valorant/Yay,Esports,1999,Valorant,VCT Masters champion; considered best Valorant player in 2022; OpTic Gaming star,esports_pros
cNed,https://liquipedia.net/valorant/Cned,Esports,2001,Valorant,VCT Champions 2021 winner with Acend; Champions 2021 MVP; Turkish Valorant star,esports_pros
Derke,https://liquipedia.net/valorant/Derke,Esports,2002,Valorant,VCT Masters champion with Fnatic; multiple international titles; top duelist,esports_pros
Less,https://liquipedia.net/valorant/Less,Esports,2003,Valorant,VCT Champions 2022 winner with LOUD; youngest Champions winner; top initiator,esports_pros
pANcada,https://liquipedia.net/valorant/PANcada,Esports,2002,Valorant,VCT Champions 2022 winner with LOUD; VCT Masters Copenhagen champion,esports_pros
Collapse,https://liquipedia.net/dota2/Collapse,Esports,2001,Dota 2,"2x The International champion (TI10, TI12) with Team Spirit; legendary off-laner",esports_pros
TORONTOTOKYO,https://liquipedia.net/dota2/Torontotokyo,Esports,2001,Dota 2,The International 10 champion with Team Spirit; known for unconventional playstyle,esports_pros
Ropz,https://en.wikipedia.org/wiki/Ropz,Esports,1999,CS:GO/CS2,Multiple HLTV Top 20 appearances; Major champion with FaZe; Estonian CS star,esports_pros
