name,handle_or_url,category,birth_year,platform,known_for,source_list
Toni Bravo,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,2000,TikTok,Forbes 30 Under 30 2025 Social Media; content creator,forbes_30u30;streamers_content_creators
Demi Guo,https://www.forbes.com/profile/demi-guo/,AI/Tech Founder,1998,Web,Co-founder Pika (AI video generation); $135M raised; $470M valuation; 5M users; Forbes 30U30 2025 AI,forbes_30u30
Chenlin Meng,https://www.forbes.com/profile/chenlin-meng/,AI/Tech Founder,1997,Web,Co-founder Pika (AI video generation); $135M raised; $470M valuation; Forbes 30U30 2025 AI,forbes_30u30
Aidan Gomez,https://www.forbes.com/profile/aidan-gomez/,AI/Tech Founder,1996,Web,"Co-founder Cohere; $970M backed; AI chatbots for Oracle, Notion; Forbes 30U30 2025 AI",forbes_30u30
Molly Cantillon,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2003,Web,Founder NOX; Forbes 30 Under 30 2025 youngest at age 21,forbes_30u30
Vignesh Karthik,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Connor Lee,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Ankit Singhal,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2004,Web,Co-founder Anthrogen; Forbes 30 Under 30 2025 youngest at age 20,forbes_30u30
Emily Cho,https://www.forbes.com/30-under-30/2025/youngest/,AI/Tech Founder,2006,Web,Founder Juvie for STEM; Forbes 30 Under 30 2025 youngest at age 18,forbes_30u30
Matt Shumer,https://www.forbes.com/profile/matt-shumer/,AI/Tech Founder,2000,Web,Co-founder Otherside AI/HyperWrite; AI agent for browser automation; 2M users; Forbes 30U30 2024 Consumer Tech,forbes_30u30
Jason Kuperberg,https://www.forbes.com/profile/jason-kuperberg/,AI/Tech Founder,1996,Web,Co-founder Otherside AI/HyperWrite; Forbes 30U30 2024 Consumer Tech,forbes_30u30
Vladimir Danila,https://www.forbes.com/30-under-30/2024/europe/technology/,AI/Tech Founder,2000,Web,"Founder Linearity (design platform); $20M funding; clients include Apple, Disney, Meta, Microsoft; Forbes 30U30 Europe 2024",forbes_30u30
