name,handle_or_url,category,birth_year,platform,known_for,source_list
Smokepurpp,https://en.wikipedia.org/wiki/Smokepurpp,Music artist,1997,SoundCloud,SoundCloud rap; early breakout,
Ski Mask the Slump God,https://en.wikipedia.org/wiki/Ski_Mask_the_Slump_God,Music artist,1996,SoundCloud,SoundCloud rap; XXXTentacion collaborator,
XXXTentacion,https://en.wikipedia.org/wiki/XXXTentacion,Music artist,1998,SoundCloud,SoundCloud rap icon; Look at Me viral; posthumous legacy,
Juice WRLD,https://en.wikipedia.org/wiki/Juice_WRLD,Music artist,1998,SoundCloud,Lucid Dreams SoundCloud viral; emo-rap pioneer,
Lil Peep,https://en.wikipedia.org/wiki/Lil_Peep,Music artist,1996,SoundCloud,Emo-rap pioneer; SoundCloud cult following,
Trippie Redd,https://en.wikipedia.org/wiki/Trippie_Redd,Music artist,1999,SoundCloud,SoundCloud rap; Love Scars viral,
Polo G,https://en.wikipedia.org/wiki/Polo_G,Music artist,1999,YouTube/Internet,Pop Out viral; Chicago rap; Billboard #1,
NLE Choppa,https://en.wikipedia.org/wiki/NLE_Choppa,Music artist,2002,YouTube/Internet,Shotta Flow viral at 16; Memphis rap,
Baby Keem,https://en.wikipedia.org/wiki/Baby_Keem,Music artist,2000,Internet/Streaming,Family Ties; Grammy winner; Kendrick cousin,
Yeat,https://en.wikipedia.org/wiki/Yeat,Music artist,2002,TikTok/Internet,TikTok-driven rap; underground-to-mainstream,
Playboi Carti,https://en.wikipedia.org/wiki/Playboi_Carti,Music artist,1996,SoundCloud/Internet,SoundCloud rap; Magnolia; cult following,
Lil Uzi Vert,https://en.wikipedia.org/wiki/Lil_Uzi_Vert,Music artist,1994,SoundCloud,SoundCloud rap; XO TOUR Llif3 viral; Grammy nominated,
