name,handle_or_url,category,birth_year,platform,known_for,source_list
Kai van Lieshout,https://www.forbes.com.au/30-under-30-2025-technology/,AI/Tech Founder,2002,Web,Co-founder/CEO Lyrebird (AI clinical documentation); ex-Tesla engineer; Forbes 30U30 2025 Technology,forbes_30u30
Harrison Crowe-Maxwell,https://www.forbes.com.au/30-under-30-2025-technology/,AI/Tech Founder,2001,Web,Co-founder Puralink (autonomous pipe inspection robots); $2.3M pre-seed; Forbes 30U30 2025 Technology,forbes_30u30
Martina Qin,https://www.forbes.com.au/30-under-30-2025-technology/,AI/Tech Founder,1997,Web,Co-founder Qloud Games (virtual worlds); $7.5M seed; Forbes 30U30 2025 Technology,forbes_30u30
Jess No Limit,https://www.wazzup.ph/gaming-icon-jess-no-limit-named-to-forbes-30-under-30-asia-celebrates-the-transformative-power-of-mobile-legends-bang-bang/,Gaming/Content Creator,1996,YouTube,54M YouTube subscribers (SE Asia's most-subscribed); 6.7B views; ex-MLBB pro; Forbes 30U30 Asia 2025,forbes_30u30;streamers_content_creators
Giniro,https://www.gamingamigos.com/post/forbes-30-u30-2025-esports-gaming,Esports/Gaming,1998,Web,Esports host/interviewer; first Arabic woman in esports broadcasting; Forbes 30U30 Europe 2025,forbes_30u30;esports_pros
Mason Thames,https://www.forbes.com/30-under-30/2025/youngest/,Entertainment,2007,Film/TV,"Actor (The Black Phone, Incoming, Monster Summer); Forbes 30U30 2025 youngest at 17",forbes_30u30
Alex Consani,https://www.forbes.com/30-under-30/2025/youngest/,Fashion/Model,2003,Instagram/TikTok,Model; Forbes 30 Under 30 2025 at age 21; large social media following,forbes_30u30
Kathryn Newton,https://www.forbes.com/30-under-30/2025/hollywood-entertainment/,Entertainment,1997,Film/TV,"Actress (Paranormal Activity 4, Freaky, Ant-Man); Forbes 30U30 2025 Hollywood",forbes_30u30
Wesley Wang,https://www.forbes.com/30-under-30/2025/hollywood-entertainment/,Entertainment,2000,Film/TV,Filmmaker; Forbes 30U30 2025 Hollywood & Entertainment,forbes_30u30
Marcello Hernandez,https://www.forbes.com/30-under-30/2025/hollywood-entertainment/,Entertainment,1997,Comedy/TV,SNL cast member; Forbes 30U30 2025 Hollywood & Entertainment,forbes_30u30
Chappell Roan,https://www.forbes.com/30-under-30/2025/music/,Music,1998,Music,Grammy-nominated artist; breakout pop star 2024; Forbes 30U30 2025 Music,forbes_30u30
Shaboozey,https://www.forbes.com/30-under-30/2025/music/,Music,1995,Music,6 Grammy nominations; country breakout star; Forbes 30U30 2025 Music,forbes_30u30
