name,handle_or_url,category,birth_year,platform,known_for,source_list
Lindsey Stirling,https://en.wikipedia.org/wiki/Lindsey_Stirling,Music artist,1986,YouTube,Violinist; YouTube music pioneer; Billboard charting,
Todrick Hall,https://en.wikipedia.org/wiki/Todrick_Hall,Content creator,1985,YouTube,YouTube musical content; Broadway; American Idol,
Ryan Higa,https://en.wikipedia.org/wiki/Ryan_Higa,Content creator,1990,YouTube,NigaHiga; most-subscribed YouTube channel 2008-2013,
Kevin Wu,https://en.wikipedia.org/wiki/Kevin_Wu,Content creator,1990,YouTube,KevJumba; early YouTube Asian-American pioneer,
Ian Hecox,https://en.wikipedia.org/wiki/Ian_Hecox,Content creator,1987,YouTube,Smosh co-founder; one of YouTube's earliest channels,
Anthony Padilla,https://en.wikipedia.org/wiki/Anthony_Padilla,Content creator,1987,YouTube,Smosh co-founder; solo interview channel,
Freddie Wong,https://en.wikipedia.org/wiki/Freddiew,Content creator,1985,YouTube,Action VFX content; RocketJump; YouTube pioneer,
Philip DeFranco,https://en.wikipedia.org/wiki/Philip_DeFranco,Content creator,1985,YouTube,News commentary; one of YouTube's longest-running shows,
Ethan Klein,https://en.wikipedia.org/wiki/Ethan_Klein,Content creator,1985,YouTube,H3H3 Productions; h3 podcast; commentary channel,
MatPat,https://en.wikipedia.org/wiki/MatPat,Content creator,1986,YouTube,Game Theory; Film Theory; educational content empire,
Toby Turner,https://en.wikipedia.org/wiki/Toby_Turner,Content creator,1985,YouTube,Tobuscus; early YouTube gaming and vlog pioneer,
Bart Baker,https://en.wikipedia.org/wiki/Bart_Baker,Content creator,1986,YouTube,Music video parodies; YouTube's parody king,
