name,handle_or_url,category,birth_year,platform,known_for,source_list
JVKE,https://en.wikipedia.org/wiki/JVKE,Music artist,2001,TikTok,Golden Hour TikTok viral; internet-built pop,
Salem Ilese,https://en.wikipedia.org/wiki/Salem_Ilese,Music artist,2000,TikTok,Mad at Disney TikTok viral; songwriter,
GAYLE,https://en.wikipedia.org/wiki/GAYLE,Music artist,2004,TikTok,abcdefu TikTok viral; teen pop breakout,
Mae Muller,https://en.wikipedia.org/wiki/Mae_Muller,Music artist,1997,Internet/Streaming,UK pop; Eurovision; streaming-era,
mxmtoon,https://en.wikipedia.org/wiki/mxmtoon,Music artist,2000,YouTube/TikTok,Bedroom pop; TikTok presence; indie,
Gus Dapperton,https://en.wikipedia.org/wiki/Gus_Dapperton,Music artist,1997,YouTube/Internet,Indie pop; internet-built; aesthetic icon,
Sub Urban,https://en.wikipedia.org/wiki/Sub_Urban,Music artist,1999,TikTok,Cradles TikTok viral; dark alt-pop,
Ruel,https://en.wikipedia.org/wiki/Ruel_(singer),Music artist,2002,YouTube/Internet,Australian teen pop; YouTube; streaming,
Lana Rhoades,https://en.wikipedia.org/wiki/Lana_Rhoades,Adult content creator,1996,Internet/OnlyFans,Adult film star turned social media personality; podcast,
Riley Reid,https://en.wikipedia.org/wiki/Riley_Reid,Adult content creator,1991,Internet,Adult film star; AVN awards; mainstream crossover,
Mia Malkova,https://en.wikipedia.org/wiki/Mia_Malkova,Adult content creator,1992,Internet,Adult film star; Twitch streamer; mainstream crossover,
Sasha Grey,https://en.wikipedia.org/wiki/Sasha_Grey,Adult content creator,1988,Internet,Adult film star turned mainstream actress; author; DJ,
