name,handle_or_url,category,birth_year,platform,known_for,source_list
Grunk,https://en.wikipedia.org/wiki/Grunk,Streamer/Content Creator,2000,Twitch/YouTube,Gaming content creator; large following,streamers_content_creators
Ironmouse,https://en.wikipedia.org/wiki/Ironmouse,Streamer/Content Creator,1997,Twitch,VTuber; most-subscribed Twitch streamer record holder (2024); Streamer Awards winner; 2M+ followers,streamers_content_creators
VShojo,https://en.wikipedia.org/wiki/VShojo,Streamer/Content Creator,1999,Twitch,VTuber agency; large following across creators,streamers_content_creators
Shgurr,https://en.wikipedia.org/wiki/Shgurr,Streamer/Content Creator,1998,YouTube,Animation content creator; millions of YouTube subscribers,streamers_content_creators
Let Me Explain Studios,https://en.wikipedia.org/wiki/Let_Me_Explain_Studios,Streamer/Content Creator,1997,YouTube,Animation YouTuber; millions of subscribers,streamers_content_creators
SomethingElseYT,https://en.wikipedia.org/wiki/SomethingElseYT,Streamer/Content Creator,1999,YouTube,Animation/story-time YouTuber; millions of subscribers,streamers_content_creators
Zachary Real,https://www.forbes.com/30-under-30/2023/social-media/,Streamer/Content Creator,1999,TikTok,Forbes 30U30 2023 Social Media; artist and content creator,forbes_30u30;streamers_content_creators
Jalaiah Harmon,https://www.forbes.com/30-under-30/2021/,Streamer/Content Creator,2004,TikTok/Instagram,Dancer; created Renegade dance; Forbes 30U30 2021 youngest at 15; large social following,forbes_30u30;streamers_content_creators
Charu Thomas,https://www.forbes.com/30-under-30/2020/,AI/Tech Founder,1998,Web,Founder Oculogx (AR glasses for warehouses); Forbes 30U30 2020; Gen Z entrepreneur at 21,forbes_30u30
Danya Sherman,https://www.forbes.com/30-under-30/2020/,AI/Tech Founder,1997,Web,Inventor KnoNap (drug-detecting napkin); Forbes 30U30 2020; Gen Z entrepreneur at 22,forbes_30u30
Punk,https://liquipedia.net/fighters/Punk,Esports,1999,Fighting Games,EVO champion; top Street Fighter player; Capcom Cup champion,esports_pros
IDOM,https://liquipedia.net/fighters/IDOM,Esports,1999,Fighting Games,EVO champion; top Street Fighter player; Capcom Pro Tour champion,esports_pros
