name,handle_or_url,category,birth_year,platform,known_for,source_list
Melanie Capone,https://www.forbes.com/30-under-30/2024/games/,Gaming,1996,Web,Co-founder One More Multiverse; Forbes 30U30 2024 Games,forbes_30u30
Josh Glodoveza,https://www.forbes.com/30-under-30/2024/games/,Gaming/Esports,1995,Web,Global Competition Manager Valorant Riot Games; Forbes 30U30 2024 Games,forbes_30u30
Arik Celik,https://www.forbes.com/30-under-30/2024/games/,Gaming/Content Creator,2005,Web,Creator; Forbes 30U30 2024 Games at age 18,forbes_30u30;streamers_content_creators
Strange Scaffold,https://www.forbes.com/30-under-30/2024/games/,Gaming,1998,Web,Founder Strange Scaffold (indie game studio); Forbes 30U30 2024 Games,forbes_30u30
Sahil Lavingia,https://en.wikipedia.org/wiki/Sahil_Lavingia,Startup Founder,1995,Web,Founder Gumroad; founded at 19; Thiel Fellow; YC alum; author of The Minimalist Entrepreneur,yc_founders
Laura Behrens Wu,https://www.forbes.com/30-under-30/2019/,Startup Founder,1995,Web,Co-founder Shippo (shipping API); Forbes 30U30 2019; YC alum,forbes_30u30;yc_founders
Rohan Puri,https://www.forbes.com/30-under-30/2024/,AI/Tech Founder,1999,Web,Forbes 30U30 2024; tech founder,forbes_30u30
Harrison Chase,https://github.com/hwchase17,AI/ML Builder,1996,GitHub,"Co-founder/CEO LangChain (AI agent framework, 100K+ stars); one of most influential AI tool builders",ai_ml_community;github_trending
Stanley Boland,https://www.forbes.com/30-under-30/2024/,AI/Tech Founder,1996,Web,AI startup founder; Forbes 30U30 2024,forbes_30u30
Aravind Krishnan,https://www.forbes.com/30-under-30/2024/,AI/Tech Founder,1998,Web,AI startup founder; Forbes 30U30 2024,forbes_30u30
Jschlatt,https://en.wikipedia.org/wiki/Jschlatt,Streamer/Content Creator,1999,Twitch/YouTube,Gaming content creator; millions of YouTube subscribers; Dream SMP adjacent; podcast host,streamers_content_creators
Slimecicle,https://en.wikipedia.org/wiki/Slimecicle,Streamer/Content Creator,2001,Twitch/YouTube,Gaming content creator; millions of YouTube subscribers; humor-focused content,streamers_content_creators
