name,handle_or_url,category,birth_year,platform,known_for,source_list
Philza,https://en.wikipedia.org/wiki/Philza,Streamer/Content Creator,1998,Twitch/YouTube,Minecraft hardcore mode legend; Dream SMP member; millions of Twitch followers,streamers_content_creators
BadBoyHalo,https://en.wikipedia.org/wiki/BadBoyHalo,Streamer/Content Creator,1995,YouTube/Twitch,Dream SMP member; Minecraft content creator; millions of YouTube subscribers,streamers_content_creators
Drew Afualo,https://www.forbes.com/profile/drew-afualo/,Streamer/Content Creator,1995,TikTok,9M TikTok followers; best-selling memoir; Forbes 30 Under 30 2025 Social Media; podcast host,forbes_30u30;streamers_content_creators
Bobbi Althoff,https://www.forbes.com/profile/bobbi-althoff/,Streamer/Content Creator,1997,TikTok/YouTube,13M social media followers; The Really Good Podcast; Forbes 30 Under 30 2025 Media,forbes_30u30;streamers_content_creators
Jake Shane,https://en.wikipedia.org/wiki/Jake_Shane,Streamer/Content Creator,1999,TikTok/Instagram,Millions of followers; sold-out live theater performances; Forbes Top Creators 2025,streamers_content_creators
Alan Chikin Chow,https://en.wikipedia.org/wiki/Alan_Chikin_Chow,Streamer/Content Creator,1996,YouTube/TikTok,Runs own production studio; Forbes Top Creators 2025; millions of followers across platforms,streamers_content_creators
Dhar Mann,https://en.wikipedia.org/wiki/Dhar_Mann,Streamer/Content Creator,1995,YouTube,Runs own production studio; billions of YouTube views; Forbes Top Creators 2025,streamers_content_creators
Enola Bedard,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,2000,TikTok/YouTube,Forbes 30 Under 30 2025 Social Media; content creator with large following,forbes_30u30;streamers_content_creators
Joe Ando-Hirsh,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1998,TikTok/YouTube,Forbes 30 Under 30 2025 Social Media; content creator,forbes_30u30;streamers_content_creators
Ian Boggs,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1998,Instagram,Forbes 30 Under 30 2025 Social Media; creator with large Instagram following,forbes_30u30;streamers_content_creators
Joel Bervell,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1995,TikTok/Instagram,Forbes 30 Under 30 2025 Social Media; medical equity advocate and content creator,forbes_30u30;streamers_content_creators
Meredith Duxbury,https://www.forbes.com/30-under-30/2025/social-media/,Streamer/Content Creator,1999,TikTok,Forbes 30 Under 30 2025 Social Media; beauty and fashion content creator,forbes_30u30;streamers_content_creators
