name,handle_or_url,category,birth_year,platform,known_for,source_list
Myth,https://en.wikipedia.org/wiki/Myth_(gamer),Twitch streamer,1999,Twitch,Fortnite streamer; TSM captain,
Scarra,https://en.wikipedia.org/wiki/Scarra,Twitch streamer,1989,Twitch,League of Legends pro; OfflineTV founder,
Sykkuno,https://en.wikipedia.org/wiki/Sykkuno,Twitch streamer,1992,Twitch,Among Us breakout; OfflineTV-adjacent; soft-spoken persona,
Fanum,https://en.wikipedia.org/wiki/Fanum,Content creator,1997,YouTube/Twitch,AMP member; food and gaming content,
Duke Dennis,https://en.wikipedia.org/wiki/Duke_Dennis,Content creator,1994,YouTube/Twitch,NBA 2K content; AMP member,
PointCrow,https://en.wikipedia.org/wiki/PointCrow,Content creator,1998,YouTube/Twitch,Zelda and challenge content; streaming,
SmallAnt,https://en.wikipedia.org/wiki/SmallAnt,Content creator,1996,YouTube/Twitch,Pokemon challenge runs; speedrunning,
Alpharad,https://en.wikipedia.org/wiki/Alpharad,Content creator,1996,YouTube,Smash Bros content; gaming commentary,
BoxBox,https://en.wikipedia.org/wiki/BoxBox,Twitch streamer,1994,Twitch,League of Legends streamer; music content,
QuarterJade,https://en.wikipedia.org/wiki/QuarterJade,Twitch streamer,1996,Twitch,Variety streamer; OfflineTV member,
Masayoshi,https://en.wikipedia.org/wiki/Masayoshi_(streamer),Twitch streamer,1995,Twitch,OfflineTV member; variety streaming,
Sydeon,https://en.wikipedia.org/wiki/Sydeon,Twitch streamer,1996,Twitch,OfflineTV member; variety streaming,
