name,handle_or_url,category,birth_year,platform,known_for,source_list
Jaiden Animations,https://en.wikipedia.org/wiki/Jaiden_Animations,Content creator,1997,YouTube,Animated story-time YouTuber; massive following,
TheOdd1sOut,https://en.wikipedia.org/wiki/TheOdd1sOut,Content creator,1996,YouTube,Animated story-time YouTuber; bestselling author,
Alan Becker,https://en.wikipedia.org/wiki/Alan_Becker,Content creator,1989,YouTube,Animator; Animator vs Animation series; massive views,
Domics,https://en.wikipedia.org/wiki/Domics,Content creator,1991,YouTube,Animated story-time YouTuber; webcomic artist,
Dream,https://en.wikipedia.org/wiki/Dream_(YouTuber),Content creator,1999,YouTube,Minecraft YouTuber; Dream SMP; massive following,
GeorgeNotFound,https://en.wikipedia.org/wiki/GeorgeNotFound,Content creator,1996,YouTube,Minecraft YouTuber; Dream SMP member,
Sapnap,https://en.wikipedia.org/wiki/Sapnap,Content creator,2001,YouTube,Minecraft YouTuber; Dream SMP member,
TommyInnit,https://en.wikipedia.org/wiki/TommyInnit,Content creator,2004,YouTube/Twitch,Minecraft content; Dream SMP; massive teenage following,
Tubbo,https://en.wikipedia.org/wiki/Tubbo_(streamer),Content creator,2003,Twitch/YouTube,Minecraft streamer; Dream SMP member,
Wilbur Soot,https://en.wikipedia.org/wiki/Wilbur_Soot,Content creator,1996,YouTube/Twitch,Minecraft content; Dream SMP; music career,
Technoblade,https://en.wikipedia.org/wiki/Technoblade,Content creator,1999,YouTube,Minecraft YouTuber; Dream SMP; posthumous legacy,
Ranboo,https://en.wikipedia.org/wiki/Ranboo,Content creator,2003,YouTube/Twitch,Minecraft content; Dream SMP member,
