name,handle_or_url,category,birth_year,platform,known_for,source_list
Elijah Renner,https://www.linkedin.com/posts/elijahrenner_i-was-accepted-to-yc-s26-as-a-high-school-activity-7464730735350956033-tMjy,YC Founder,2007,Web,CTO Shepherd (YC S26); $500K funding; high school senior; Stanford CS deferred; from rural Vermont,yc_founders
Philip Meng,https://www.linkedin.com/posts/elijahrenner_i-was-accepted-to-yc-s26-as-a-high-school-activity-7464730735350956033-tMjy,YC Founder,2007,Web,Co-founder Shepherd (YC S26); $500K funding; high school senior,yc_founders
Ishan Ramrakhiani,https://www.linkedin.com/posts/elijahrenner_i-was-accepted-to-yc-s26-as-a-high-school-activity-7464730735350956033-tMjy,YC Founder,2007,Web,Co-founder Shepherd (YC S26); $500K funding; high school senior,yc_founders
Shaurya Gupta,https://linkedin.com/in/shauryaguptaaa,YC Founder,2010,Web,Founding engineer Esprit Labs (YC S26); 15 years old; grade 9; youngest YC founder,yc_founders
Nicolas Muntwyler,https://www.linkedin.com/in/nicolasmuntwyler,YC Founder,1999,Web,Co-founder nunu.ai (YC W23); a16z SR003; CS @ ETH Zurich; $8.1M total funding,yc_founders
Sajal Khanna,https://www.ycombinator.com/companies/akudo,YC Founder,1998,Web,Co-founder Akudo (neobank for teenagers); YC S21; $4.2M seed,yc_founders
Lavika Aggarwal,https://www.ycombinator.com/companies/akudo,YC Founder,1998,Web,Co-founder Akudo (neobank for teenagers); YC S21; $4.2M seed; IIT Roorkee,yc_founders
Ben Wong,https://www.linkedin.com/in/dobenwong,YC Founder,2000,Web,Founder DimOrder (YC W22); restaurant POS; from Hong Kong,yc_founders
Callum Ferguson,https://www.linkedin.com/in/callum-c-ferguson,YC Founder,2000,Web,Co-founder Bonsai Browser (YC W22),yc_founders
Nick Dobroshinsky,https://www.tbpndigest.com/story/2026-04-23/nick-dobroshinsky-the-youngest-ever-thiel-fellow-built-an-ai-equity-research-platform-in-eighth-grade,Thiel Fellow,2009,Web,Youngest-ever Thiel Fellow at 16; built Every Ticker (AI equity research); solo founder,yc_founders
Marc Lou,https://www.indiehackers.com/post/how-marc-lou-phs-maker-of-the-year-makes-50k-every-month-with-multiple-products-45074ee30a,Indie Hacker/Product Hunt,1996,Web,Product Hunt Maker of the Year 2024; ShipFast boilerplate; $50K/month with 20 products; shipped 16 products in 2 years,product_hunt
Yasser Elsaid,https://www.indiehackers.com/post/how-a-college-student-reached-64-000-mo-in-6-months-by-being-an-ai-first-mover-ba7981f6e1,Indie Hacker,2001,Web,Founder Chatbase.co (custom ChatGPT for websites); $64K MRR; bootstrapped; from Egypt to Canada,product_hunt
