name,handle_or_url,category,birth_year,platform,known_for,source_list
Stoya,https://en.wikipedia.org/wiki/Stoya,Adult content creator,1986,Internet,Adult film star; writer; mainstream crossover,
Tori Black,https://en.wikipedia.org/wiki/Tori_Black,Adult content creator,1988,Internet,Adult film star; AVN Hall of Fame; mainstream crossover,
Asa Akira,https://en.wikipedia.org/wiki/Asa_Akira,Adult content creator,1986,Internet,Adult film star; author; podcast host,
Bree Olson,https://en.wikipedia.org/wiki/Bree_Olson,Adult content creator,1986,Internet,Adult film star; mainstream media appearances,
Dani Daniels,https://en.wikipedia.org/wiki/Dani_Daniels,Adult content creator,1989,Internet,Adult film star; artist; podcast host,
Christy Mack,https://en.wikipedia.org/wiki/Christy_Mack,Adult content creator,1991,Internet,Adult film star; model; tattoo icon,
Bonnie Rotten,https://en.wikipedia.org/wiki/Bonnie_Rotten,Adult content creator,1993,Internet,Adult film star; AVN awards; producer,
Alex Cooper,https://en.wikipedia.org/wiki/Alexandra_Cooper_(podcaster),Podcaster,1994,Podcast,Call Her Daddy; largest female podcast; Spotify deal,
Cody Ko,https://en.wikipedia.org/wiki/Cody_Ko,Content creator/Podcaster,1990,YouTube/Podcast,Comedy commentary; Tiny Meat Gang podcast,
Noel Miller,https://en.wikipedia.org/wiki/Noel_Miller,Content creator/Podcaster,1989,YouTube/Podcast,Comedy commentary; Tiny Meat Gang; music,
Danny Gonzalez,https://en.wikipedia.org/wiki/Danny_Gonzalez,Content creator,1994,YouTube,Comedy commentary; Vine alum; music parodies,
Drew Gooden,https://en.wikipedia.org/wiki/Drew_Gooden,Content creator,1993,YouTube,Comedy commentary; Vine alum,
