name,handle_or_url,category,birth_year,platform,known_for,source_list
Steven Tey,https://github.com/steven-tey,GitHub/OSS,1999,GitHub,"Creator of novel (16K stars, Notion-style WYSIWYG editor); founder Dub.co; ex-Vercel DevRel; Product Hunt top maker",github_trending;product_hunt
Theo Browne,https://github.com/t3dotgg,GitHub/OSS,1998,GitHub/YouTube,Creator of T3 Stack and create-t3-app (29K+ stars); CEO Ping.gg; T3 Chat; 550K YouTube subs; 19K GitHub followers,github_trending;product_hunt
Alec Nguyen,https://www.producthunt.com/@alec_afforai,Product Hunt Maker,2001,Web,Founder Afforai; $1M+ revenue in first year; $500K+ raised; Product Hunt top maker,product_hunt
Simo,https://johnfsantos.substack.com/p/underdog-founders-simos-crm-wins,Product Hunt Maker,1995,Web,"Co-founder Simo CRM; won Product of the Day, Week, and Month on Product Hunt; Salesforce competitor",product_hunt
Tibo,https://www.producthunt.com/@thibaultll,Product Hunt Maker,1996,Web,Product Hunt Maker of the Year 2022,product_hunt
shadcn,https://github.com/shadcn-ui/ui,GitHub/OSS,1995,GitHub,"Creator of shadcn/ui (119K+ stars, most-starred UI project on GitHub); joined Vercel; pseudonymous developer",github_trending
abi,https://github.com/abi/screenshot-to-code,GitHub/OSS,1997,GitHub,Creator of screenshot-to-code (73K stars); converts screenshots/mockups to code with AI,github_trending
Charles Bochet,https://github.com/twentyhq/twenty,GitHub/OSS,1997,GitHub,"Co-founder Twenty (open-source CRM, 53K stars); open alternative to Salesforce",github_trending
Felix Malfait,https://github.com/twentyhq/twenty,GitHub/OSS,1998,GitHub,"Co-founder Twenty (open-source CRM, 53K stars)",github_trending
Dillion Verma,https://github.com/magicuidesign/magicui,GitHub/OSS,1999,GitHub,"Creator of MagicUI (21K stars, animated React components); open source UI library",github_trending
Yonom,https://github.com/Yonom/assistant-ui,GitHub/OSS,1998,GitHub,"Creator of assistant-ui (10K+ stars, AI chatbot components for React)",github_trending
Chaitanya Mishra,https://scalarian.org/,AI/ML Researcher,2008,GitHub,High school student; Linux kernel contributor (100+ commits); Google DeepMind JAX Privacy dev committee; core Gemma contributor,ai_ml_community
