name,handle_or_url,category,birth_year,platform,known_for,source_list
TimTheTatman,https://en.wikipedia.org/wiki/TimTheTatman,Twitch streamer,1990,Twitch,Variety streamer; Call of Duty; mainstream gaming personality,
NICKMERCS,https://en.wikipedia.org/wiki/Nickmercs,Twitch streamer,1990,Twitch,Call of Duty streamer; FaZe Clan; console gaming advocate,
DrLupo,https://en.wikipedia.org/wiki/DrLupo,Twitch streamer,1985,Twitch,Fortnite and Destiny streamer; charity fundraising,
Valkyrae,https://en.wikipedia.org/wiki/Valkyrae,Twitch streamer,1992,Twitch/YouTube,Co-owner of 100 Thieves; top female streamer,
LilyPichu,https://en.wikipedia.org/wiki/LilyPichu,Twitch streamer,1991,Twitch,OfflineTV member; music and art content,
Disguised Toast,https://en.wikipedia.org/wiki/Disguised_Toast,Twitch streamer,1991,Twitch,Hearthstone streamer; OfflineTV; variety content,
Hasan Piker,https://en.wikipedia.org/wiki/Hasan_Piker,Twitch streamer,1991,Twitch,Political commentator; most-watched Just Chatting streamer,
Ludwig Ahgren,https://en.wikipedia.org/wiki/Ludwig_Ahgren,Twitch streamer,1995,Twitch/YouTube,Subathon record; Super Smash Bros commentary; Mogul Money,
MoistCr1TiKaL,https://en.wikipedia.org/wiki/MoistCr1TiKaL,Content creator,1994,YouTube/Twitch,Gaming commentary; esports team owner; variety content,
Kai Cenat,https://en.wikipedia.org/wiki/Kai_Cenat,Twitch streamer,2001,Twitch,Most-subscribed Twitch streamer; AMP member,
IShowSpeed,https://en.wikipedia.org/wiki/IShowSpeed,Content creator,2005,YouTube,Viral gaming and IRL streams; music career,
Adin Ross,https://en.wikipedia.org/wiki/Adin_Ross,Twitch streamer,2000,Twitch/YouTube,Streaming personality; celebrity collaborations,
